TIME, DC_V, DC_I, AC_VRMS_1, AC_IRMS_1, DC_P, AC_S_1, AC_P_1, AC_Q_1, AC_FREQ_1, AC_PF_1, TRIG, TRIG_GRID, V_ACT_1, Q_ACT_1, V_TARGET_1, Q_TARGET_1, Q_MIN_1, Q_MAX_1, Q_MIN_ERROR_1, Q_MAX_ERROR_1
3607114045.35, 463.752, 4.337, 220.762, 8.586, 1978.32, 1899.735, 1879.786, 237.216, 60.051, -0.99, 0.0, 0.056, , , , , , , , 
3607114046.35, 463.754, 4.335, 220.782, 8.591, 1977.446, 1903.302, 1883.776, 241.695, 60.051, -0.99, 0.0, 0.053, , , , , , , , 
3607114047.01, 464.85, 4.324, 220.826, 8.571, 1977.694, 1896.528, 1876.02, 241.945, 60.051, -0.989, 0.0, 0.054, , , , , , , , 
3607114047.01, 464.85, 4.324, 220.826, 8.571, 1977.694, 1896.528, 1876.02, 241.945, 60.051, -0.989, 0.0, 0.054, 220.826, 241.945, 220.806, 450.0, 50.0, 850.0, 400.0, 400.0
3607114047.35, 464.769, 4.325, 221.768, 8.472, 1977.734, 1880.921, 1858.961, 241.476, 60.05, -0.988, 0.0, 0.332, , , , , , , , 
3607114048.35, 464.779, 4.326, 225.584, 8.417, 1977.555, 1897.837, 1877.866, 234.858, 60.05, -0.99, 0.0, 0.053, , , , , , , , 
3607114049.35, 464.909, 4.326, 225.668, 8.392, 1977.911, 1897.524, 1877.918, 233.136, 60.051, -0.99, 0.0, 0.057, , , , , , , , 
3607114049.35, 464.909, 4.326, 225.668, 8.392, 1977.911, 1897.524, 1877.918, 233.136, 60.051, -0.99, 0.0, 0.057, 225.668, 233.136, 225.612, 450.0, 50.0, 850.0, 400.0, 400.0
3607114049.35, 464.909, 4.326, 225.668, 8.392, 1977.911, 1897.524, 1877.918, 233.136, 60.051, -0.99, 0.0, 0.057, , , , , , , , 
3607114050.35, 463.833, 4.336, 230.492, 8.241, 1978.15, 1900.913, 1881.193, 229.742, 60.051, -0.99, 0.0, 0.052, , , , , , , , 
3607114051.35, 463.74, 4.335, 230.514, 8.242, 1978.104, 1905.414, 1886.793, 231.707, 60.05, -0.99, 0.0, 0.054, , , , , , , , 
