TIME, DC_V, DC_I, AC_VRMS_1, AC_VRMS_2, AC_VRMS_3, AC_IRMS_1, AC_IRMS_2, AC_IRMS_3, DC_P, AC_S_1, AC_S_2, AC_S_3, AC_P_1, AC_P_2, AC_P_3, AC_Q_1, AC_Q_2, AC_Q_3, AC_FREQ_1, AC_FREQ_2, AC_FREQ_3, AC_PF_1, AC_PF_2, AC_PF_3, TRIG, TRIG_GRID, PF_TARGET, PF_MAX, PF_MIN
1524254979.14, 813.21295166, 21.1092376709, 230.027557373, 230.013809204, 230.017471313, 24.6651382446, 24.7223358154, 24.5457935333, 17166.3054736, 5647.00911458, 5647.00911458, 5647.00911458, 5716.97851562, 5716.97851562, 5716.97851562, 68.6350657145, 68.6350657145, 68.6350657145, 50.0, 50.0, 50.0, 0.999960243702, 0.999960243702, 0.999960243702, 0.0, 0.0, 1.0, 0.98, -0.98
1524254980.15, 806.369018555, 21.0964260101, 230.017227173, 230.028808594, 230.026824951, 24.7537250519, 24.9452285767, 24.9130706787, 17011.5043368, 5640.57291667, 5640.57291667, 5640.57291667, 5695.08333333, 5695.08333333, 5695.08333333, 11.3943417867, 11.3943417867, 11.3943417867, 50.0, 50.0, 50.0, 0.999967396259, 0.999967396259, 0.999967396259, 0.0, 0.0, 1.0, 0.98, -0.98
1524254981.15, 791.878723145, 21.5279102325, 229.961868286, 229.971801758, 229.981140137, 24.9450244904, 25.102104187, 25.1438617706, 17047.4940669, 5673.9296875, 5673.9296875, 5673.9296875, 5686.61393229, 5686.61393229, 5686.61393229, -72.0793457031, -72.0793457031, -72.0793457031, 50.0, 50.0, 50.0, 0.999968349934, 0.999968349934, 0.999968349934, 0.0, 0.0, 1.0, 0.98, -0.98
1524254982.14, 791.454711914, 21.6622695923, 229.990097046, 229.968261719, 229.963851929, 24.8154754639, 24.9363231659, 24.7944011688, 17144.7053396, 5665.33398438, 5665.33398438, 5665.33398438, 5740.69986979, 5740.69986979, 5740.69986979, 32.0994415283, 32.0994415283, 32.0994415283, 50.0, 50.0, 50.0, 0.999988257885, 0.999988257885, 0.999988257885, 0.0, 0.0, 1.0, 0.98, -0.98
1524254983.15, 788.494384766, 21.5914745331, 230.037185669, 230.028900146, 230.023727417, 24.7465171814, 24.6684856415, 24.8330879211, 17024.7564281, 5631.37565104, 5631.37565104, 5631.37565104, 5615.91276042, 5615.91276042, 5615.91276042, -62.6646270752, -62.6646270752, -62.6646270752, 50.0, 50.0, 50.0, 0.999998748302, 0.999998748302, 0.999998748302, 0.0, 0.0, 1.0, 0.98, -0.98
1524254984.13, 814.025268555, 21.026966095, 230.010986328, 230.024185181, 230.030853271, 24.9544582367, 24.8863983154, 24.9695129395, 17116.4817223, 5766.25911458, 5766.25911458, 5766.25911458, 5745.08398438, 5745.08398438, 5745.08398438, 6.13095728556, 6.13095728556, 6.13095728556, 50.0, 50.0, 50.0, 0.999998629093, 0.999998629093, 0.999998629093, 0.0, 0.0, 1.0, 0.98, -0.98
