TIME, DC_V, DC_I, AC_VRMS_1, AC_VRMS_2, AC_VRMS_3, AC_IRMS_1, AC_IRMS_2, AC_IRMS_3, DC_P, AC_S_1, AC_S_2, AC_S_3, AC_P_1, AC_P_2, AC_P_3, AC_Q_1, AC_Q_2, AC_Q_3, AC_FREQ_1, AC_FREQ_2, AC_FREQ_3, AC_PF_1, AC_PF_2, AC_PF_3, TRIG, TRIG_GRID, PF_TARGET, PF_MAX, PF_MIN
1524255011.42, 767.460632324, 8.50758934021, 230.029266357, 230.022949219, 230.023330688, 14.9586172104, 14.8709459305, 14.8774528503, 6529.23989459, 3378.78515625, 3378.78515625, 3378.78515625, 2058.08463542, 2058.08463542, 2058.08463542, 2582.64534505, 2582.64534505, 2582.64534505, 50.0, 50.0, 50.0, 0.630500912666, 0.630500912666, 0.630500912666, 0.0, 0.0, 0.6, 0.62, 0.58
1524255012.42, 762.708374023, 8.54362392426, 230.017700195, 230.034347534, 230.036514282, 15.1296520233, 15.1157512665, 15.0435800552, 6516.29351154, 3415.17708333, 3415.17708333, 3415.17708333, 2061.18847656, 2061.18847656, 2061.18847656, 2653.01188151, 2653.01188151, 2653.01188151, 50.0, 50.0, 50.0, 0.64708840847, 0.64708840847, 0.64708840847, 0.0, 0.0, 0.6, 0.62, 0.58
1524255013.43, 764.002502441, 8.50846862793, 229.963485718, 229.968582153, 229.97328186, 15.0205183029, 14.9325428009, 14.9866390228, 6500.49132368, 3441.0328776, 3441.0328776, 3441.0328776, 2192.98323568, 2192.98323568, 2192.98323568, 2609.22216797, 2609.22216797, 2609.22216797, 50.0, 50.0, 50.0, 0.656778514385, 0.656778514385, 0.656778514385, 0.0, 0.0, 0.6, 0.62, 0.58
1524255014.43, 770.919799805, 8.47769165039, 230.002487183, 229.9790802, 229.977279663, 15.0591363907, 15.0649213791, 14.9565782547, 6535.62034993, 3408.81184896, 3408.81184896, 3408.81184896, 2174.54964193, 2174.54964193, 2174.54964193, 2681.68017578, 2681.68017578, 2681.68017578, 50.0, 50.0, 50.0, 0.613070845604, 0.613070845604, 0.613070845604, 0.0, 0.0, 0.6, 0.62, 0.58
1524255015.42, 754.165527344, 8.64266872406, 230.049682617, 230.046630859, 230.041000366, 15.0932245255, 14.9468832016, 14.944396019, 6518.00281594, 3422.77766927, 3422.77766927, 3422.77766927, 2096.1624349, 2096.1624349, 2096.1624349, 2649.22102865, 2649.22102865, 2649.22102865, 50.0, 50.0, 50.0, 0.628743290901, 0.628743290901, 0.628743290901, 0.0, 0.0, 0.6, 0.62, 0.58
