TIME, DC_V, DC_I, AC_VRMS_1, AC_VRMS_2, AC_VRMS_3, AC_IRMS_1, AC_IRMS_2, AC_IRMS_3, DC_P, AC_S_1, AC_S_2, AC_S_3, AC_P_1, AC_P_2, AC_P_3, AC_Q_1, AC_Q_2, AC_Q_3, AC_FREQ_1, AC_FREQ_2, AC_FREQ_3, AC_PF_1, AC_PF_2, AC_PF_3, TRIG, TRIG_GRID, PF_TARGET, PF_MAX, PF_MIN
1524255023.87, 772.230285645, 8.40191459656, 230.030807495, 230.018478394, 229.998153687, 14.9318599701, 15.0465478897, 14.8995084763, 6488.21290886, 3372.05110677, 3372.05110677, 3372.05110677, 2113.8453776, 2113.8453776, 2113.8453776, 2646.11832682, 2646.11832682, 2646.11832682, 50.0, 50.0, 50.0, 0.621338069439, 0.621338069439, 0.621338069439, 0.0, 0.0, 0.6, 0.62, 0.58
1524255024.89, 773.609191895, 8.43189239502, 230.025588989, 230.035568237, 230.040542603, 14.942240715, 14.8510007858, 14.7384967804, 6522.98946185, 3403.96582031, 3403.96582031, 3403.96582031, 2097.72102865, 2097.72102865, 2097.72102865, 2622.47216797, 2622.47216797, 2622.47216797, 50.0, 50.0, 50.0, 0.632234990597, 0.632234990597, 0.632234990597, 0.0, 0.0, 0.6, 0.62, 0.58
1524255025.89, 764.897338867, 8.52576160431, 229.972824097, 229.995651245, 230.006011963, 15.010720253, 15.0455293655, 14.8516044617, 6521.33236295, 3449.2093099, 3449.2093099, 3449.2093099, 2195.32698568, 2195.32698568, 2195.32698568, 2614.61751302, 2614.61751302, 2614.61751302, 50.0, 50.0, 50.0, 0.65144264698, 0.65144264698, 0.65144264698, 0.0, 0.0, 0.6, 0.62, 0.58
1524255026.87, 759.643005371, 8.60381031036, 229.984466553, 229.966720581, 229.961761475, 14.8635940552, 14.7728176117, 14.8731079102, 6535.82432181, 3467.99739583, 3467.99739583, 3467.99739583, 2187.9156901, 2187.9156901, 2187.9156901, 2667.54150391, 2667.54150391, 2667.54150391, 50.0, 50.0, 50.0, 0.622918426991, 0.622918426991, 0.622918426991, 0.0, 0.0, 0.6, 0.62, 0.58
1524255027.87, 782.220031738, 8.24021148682, 230.029266357, 230.018615723, 230.017745972, 14.9087371826, 14.7422943115, 14.7574138641, 6445.65849075, 3392.48079427, 3392.48079427, 3392.48079427, 2050.06217448, 2050.06217448, 2050.06217448, 2558.24267578, 2558.24267578, 2558.24267578, 50.0, 50.0, 50.0, 0.632601380348, 0.632601380348, 0.632601380348, 0.0, 0.0, 0.6, 0.62, 0.58
