TIME, DC_V, DC_I, AC_VRMS_1, AC_VRMS_2, AC_VRMS_3, AC_IRMS_1, AC_IRMS_2, AC_IRMS_3, DC_P, AC_S_1, AC_S_2, AC_S_3, AC_P_1, AC_P_2, AC_P_3, AC_Q_1, AC_Q_2, AC_Q_3, AC_FREQ_1, AC_FREQ_2, AC_FREQ_3, AC_PF_1, AC_PF_2, AC_PF_3, TRIG, TRIG_GRID, PF_TARGET, PF_MAX, PF_MIN
1524254992.55, 800.617553711, 21.3800411224, 230.022628784, 230.013748169, 230.007736206, 24.8366394043, 24.6703929901, 24.7322635651, 17117.2362217, 5706.88216146, 5706.88216146, 5706.88216146, 5628.33789062, 5628.33789062, 5628.33789062, 35.6205825806, 35.6205825806, 35.6205825806, 50.0, 50.0, 50.0, 0.999973475933, 0.999973475933, 0.999973475933, 0.0, 0.0, 1.0, 0.98, -0.98
1524254993.57, 800.33972168, 21.2963619232, 230.028411865, 230.033538818, 230.033035278, 24.7522258759, 24.8097248077, 24.8719444275, 17044.3243744, 5659.85546875, 5659.85546875, 5659.85546875, 5722.83789062, 5722.83789062, 5722.83789062, -2.38350709279, -2.38350709279, -2.38350709279, 50.0, 50.0, 50.0, 0.999970734119, 0.999970734119, 0.999970734119, 0.0, 0.0, 1.0, 0.98, -0.98
1524254994.55, 809.663085938, 21.0541095734, 229.969802856, 229.992736816, 230.00138855, 24.8064975739, 24.8046588898, 25.1026992798, 17046.7353288, 5686.86263021, 5686.86263021, 5686.86263021, 5677.70052083, 5677.70052083, 5677.70052083, -68.7663675944, -68.7663675944, -68.7663675944, 50.0, 50.0, 50.0, 0.999959111214, 0.999959111214, 0.999959111214, 0.0, 0.0, 1.0, 0.98, -0.98
1524254995.54, 809.141174316, 21.2428874969, 229.966033936, 229.955352783, 229.958816528, 24.6867580414, 24.7814178467, 24.9194526672, 17188.4949352, 5699.98502604, 5699.98502604, 5699.98502604, 5740.66796875, 5740.66796875, 5740.66796875, 72.465616862, 72.465616862, 72.465616862, 50.0, 50.0, 50.0, 0.999986886978, 0.999986886978, 0.999986886978, 0.0, 0.0, 1.0, 0.98, -0.98
1524254996.56, 797.429382324, 21.6136264801, 230.027648926, 230.017364502, 230.007278442, 24.67345047, 24.6914920807, 24.7664108276, 17235.3408138, 5700.54296875, 5700.54296875, 5700.54296875, 5711.68098958, 5711.68098958, 5711.68098958, 41.0940500895, 41.0940500895, 41.0940500895, 50.0, 50.0, 50.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.98, -0.98
