TIME, DC_V, DC_I, AC_VRMS_1, AC_VRMS_2, AC_VRMS_3, AC_IRMS_1, AC_IRMS_2, AC_IRMS_3, DC_P, AC_S_1, AC_S_2, AC_S_3, AC_P_1, AC_P_2, AC_P_3, AC_Q_1, AC_Q_2, AC_Q_3, AC_FREQ_1, AC_FREQ_2, AC_FREQ_3, AC_PF_1, AC_PF_2, AC_PF_3, TRIG, TRIG_GRID, V_ACT_1, Q_ACT_1, V_TARGET_1, Q_TARGET_1, Q_MIN_1, Q_MAX_1, Q_MIN_ERROR_1, Q_MAX_ERROR_1, V_ACT_2, Q_ACT_2, V_TARGET_2, Q_TARGET_2, Q_MIN_2, Q_MAX_2, Q_MIN_ERROR_2, Q_MAX_ERROR_2, V_ACT_3, Q_ACT_3, V_TARGET_3, Q_TARGET_3, Q_MIN_3, Q_MAX_3, Q_MIN_ERROR_3, Q_MAX_ERROR_3
1524257291.53, 799.699157715, 28.4227676392, 211.916687012, 211.920730591, 211.920028687, 38.2774124146, 38.4801445007, 38.4011459351, 22729.663341, 8120.04882812, 8120.04882812, 8120.04882812, 7538.75, 7538.75, 7538.75, 2842.9391276, 2842.9391276, 2842.9391276, 50.0, 50.0, 50.0, 0.934697151184, 0.934697151184, 0.934697151184, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524257292.08, 796.569458008, 28.6528778076, 211.89781189, 211.87878418, 211.863204956, 38.0609130859, 38.1002731323, 38.2337799072, 22824.0073456, 8135.08333333, 8135.08333333, 8135.08333333, 7597.24804688, 7597.24804688, 7597.24804688, 2921.00032552, 2921.00032552, 2921.00032552, 50.0, 50.0, 50.0, 0.935508966446, 0.935508966446, 0.935508966446, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524257292.12, 804.413085938, 28.4824199677, 211.892501831, 211.867263794, 211.863204956, 38.0602531433, 38.0895042419, 37.9825057983, 22911.6313411, 8104.90039062, 8104.90039062, 8104.90039062, 7629.37434896, 7629.37434896, 7629.37434896, 2919.87890625, 2919.87890625, 2919.87890625, 50.0, 50.0, 50.0, 0.93575412035, 0.93575412035, 0.93575412035, 0.0, 0.0, 211.89781189, 2921.00032552, 211.890375, 2875.0, 2375.0, 3375.0, 500.0, 500.0, 211.87878418, 2921.00032552, 211.890375, 2875.0, 2375.0, 3375.0, 500.0, 500.0, 211.863204956, 2921.00032552, 211.890375, 2875.0, 2375.0, 3375.0, 500.0, 500.0
1524257292.54, 819.141296387, 27.6754379272, 216.763275146, 216.781234741, 216.790359497, 37.5413475037, 37.4501686096, 37.4728546143, 22670.0941018, 8137.51041667, 8137.51041667, 8137.51041667, 7601.01171875, 7601.01171875, 7601.01171875, 2839.91373698, 2839.91373698, 2839.91373698, 50.0, 50.0, 50.0, 0.933570504189, 0.933570504189, 0.933570504189, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524257293.55, 797.467712402, 28.4150009155, 216.770294189, 216.750442505, 216.746307373, 37.3168106079, 37.3438568115, 37.4928512573, 22660.045778, 8082.71354167, 8082.71354167, 8082.71354167, 7601.61523438, 7601.61523438, 7601.61523438, 2801.77897135, 2801.77897135, 2801.77897135, 50.0, 50.0, 50.0, 0.940561413765, 0.940561413765, 0.940561413765, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524257293.6, 811.356018066, 28.1847457886, 216.757217407, 216.745269775, 216.747268677, 37.3151321411, 37.3290634155, 37.4713287354, 22867.8631132, 8171.07421875, 8171.07421875, 8171.07421875, 7634.84375, 7634.84375, 7634.84375, 2824.02311198, 2824.02311198, 2824.02311198, 50.0, 50.0, 50.0, 0.930785477161, 0.930785477161, 0.930785477161, 0.0, 0.0, 216.770294189, 2801.77897135, 216.78075, 2875.0, 2375.0, 3375.0, 500.0, 500.0, 216.750442505, 2801.77897135, 216.78075, 2875.0, 2375.0, 3375.0, 500.0, 500.0, 216.746307373, 2801.77897135, 216.78075, 2875.0, 2375.0, 3375.0, 500.0, 500.0
1524257293.64, 805.062744141, 28.3480072021, 216.752487183, 216.747299194, 216.745407104, 37.3594322205, 37.4135932922, 37.5840644836, 22821.9244691, 8114.13346354, 8114.13346354, 8114.13346354, 7571.19205729, 7571.19205729, 7571.19205729, 2857.71354167, 2857.71354167, 2857.71354167, 50.0, 50.0, 50.0, 0.932892620564, 0.932892620564, 0.932892620564, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524257294.54, 798.394714355, 28.5134487152, 221.706878662, 221.699935913, 221.694625854, 36.5512771606, 36.5157470703, 36.6136703491, 22764.9867423, 8115.48046875, 8115.48046875, 8115.48046875, 7598.35872396, 7598.35872396, 7598.35872396, 2905.8046875, 2905.8046875, 2905.8046875, 50.0, 50.0, 50.0, 0.931993603706, 0.931993603706, 0.931993603706, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524257295.08, 809.586120605, 28.0914077759, 221.643539429, 221.633544922, 221.638870239, 36.5078277588, 36.6324310303, 36.7057952881, 22742.4138436, 8163.06770833, 8163.06770833, 8163.06770833, 7593.17513021, 7593.17513021, 7593.17513021, 2827.54264323, 2827.54264323, 2827.54264323, 50.0, 50.0, 50.0, 0.934114933014, 0.934114933014, 0.934114933014, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524257295.11, 807.574829102, 28.0389099121, 221.643539429, 221.633544922, 221.638870239, 36.5078277588, 36.6324310303, 36.7057952881, 22643.5178805, 8118.86653646, 8118.86653646, 8118.86653646, 7543.33658854, 7543.33658854, 7543.33658854, 2786.26432292, 2786.26432292, 2786.26432292, 50.0, 50.0, 50.0, 0.937147438526, 0.937147438526, 0.937147438526, 0.0, 0.0, 221.643539429, 2827.54264323, 221.671125, 2875.0, 2375.0, 3375.0, 500.0, 500.0, 221.633544922, 2827.54264323, 221.671125, 2875.0, 2375.0, 3375.0, 500.0, 500.0, 221.638870239, 2827.54264323, 221.671125, 2875.0, 2375.0, 3375.0, 500.0, 500.0
