TIME, DC_V, DC_I, AC_VRMS_1, AC_VRMS_2, AC_VRMS_3, AC_IRMS_1, AC_IRMS_2, AC_IRMS_3, DC_P, AC_S_1, AC_S_2, AC_S_3, AC_P_1, AC_P_2, AC_P_3, AC_Q_1, AC_Q_2, AC_Q_3, AC_FREQ_1, AC_FREQ_2, AC_FREQ_3, AC_PF_1, AC_PF_2, AC_PF_3, TRIG, TRIG_GRID, V_ACT_1, Q_ACT_1, V_TARGET_1, Q_TARGET_1, Q_MIN_1, Q_MAX_1, Q_MIN_ERROR_1, Q_MAX_ERROR_1, V_ACT_2, Q_ACT_2, V_TARGET_2, Q_TARGET_2, Q_MIN_2, Q_MAX_2, Q_MIN_ERROR_2, Q_MAX_ERROR_2, V_ACT_3, Q_ACT_3, V_TARGET_3, Q_TARGET_3, Q_MIN_3, Q_MAX_3, Q_MIN_ERROR_3, Q_MAX_ERROR_3
1524257204.98, 803.307495117, 28.4305992126, 248.143676758, 248.153747559, 248.146469116, 32.669631958, 32.6829605103, 32.7977981567, 22838.5134382, 8069.76432292, 8069.76432292, 8069.76432292, 7592.56054688, 7592.56054688, 7592.56054688, -2866.76269531, -2866.76269531, -2866.76269531, 50.0, 50.0, 50.0, 0.932755351067, 0.932755351067, 0.932755351067, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524257205.54, 804.395080566, 28.2388343811, 248.104095459, 248.08152771, 248.073196411, 32.4850654602, 32.554599762, 32.7568130493, 22715.1794571, 8190.35546875, 8190.35546875, 8190.35546875, 7500.76627604, 7500.76627604, 7500.76627604, -2870.09472656, -2870.09472656, -2870.09472656, 50.0, 50.0, 50.0, 0.933548152447, 0.933548152447, 0.933548152447, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524257205.59, 799.029846191, 28.3663825989, 248.096755981, 248.073013306, 248.07069397, 32.4789009094, 32.5907440186, 32.833770752, 22665.586325, 8057.6875, 8057.6875, 8057.6875, 7550.18815104, 7550.18815104, 7550.18815104, -2911.91731771, -2911.91731771, -2911.91731771, 50.0, 50.0, 50.0, 0.932076692581, 0.932076692581, 0.932076692581, 0.0, 0.0, 248.104095459, -2870.09472656, 248.115375, -2875.0, -3375.0, -2375.0, 500.0, 500.0, 248.08152771, -2870.09472656, 248.115375, -2875.0, -3375.0, -2375.0, 500.0, 500.0, 248.073196411, -2870.09472656, 248.115375, -2875.0, -3375.0, -2375.0, 500.0, 500.0
1524257205.97, 817.962036133, 27.7666549683, 243.193450928, 243.207946777, 243.228134155, 33.4103622437, 33.4622535706, 33.6164283752, 22712.0696344, 8215.58984375, 8215.58984375, 8215.58984375, 7572.76302083, 7572.76302083, 7572.76302083, -2936.046875, -2936.046875, -2936.046875, 50.0, 50.0, 50.0, 0.936064720154, 0.936064720154, 0.936064720154, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524257206.97, 802.188659668, 28.2816314697, 243.211837769, 243.185852051, 243.184906006, 33.2088050842, 33.3520050049, 33.4145355225, 22687.2040419, 8156.14388021, 8156.14388021, 8156.14388021, 7625.53320312, 7625.53320312, 7625.53320312, -2941.23958333, -2941.23958333, -2941.23958333, 50.0, 50.0, 50.0, 0.933876752853, 0.933876752853, 0.933876752853, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524257207.01, 798.260986328, 28.667142868, 243.20111084, 243.185852051, 243.184906006, 33.2088050842, 33.3520050049, 33.4145355225, 22883.8617411, 8046.06575521, 8046.06575521, 8046.06575521, 7571.26822917, 7571.26822917, 7571.26822917, -2919.29720052, -2919.29720052, -2919.29720052, 50.0, 50.0, 50.0, 0.933659911156, 0.933659911156, 0.933659911156, 0.0, 0.0, 243.211837769, -2941.23958333, 243.23075, -2875.0, -3375.0, -2375.0, 500.0, 500.0, 243.185852051, -2941.23958333, 243.23075, -2875.0, -3375.0, -2375.0, 500.0, 500.0, 243.184906006, -2941.23958333, 243.23075, -2875.0, -3375.0, -2375.0, 500.0, 500.0
1524257207.05, 794.165344238, 28.5998134613, 243.198104858, 243.18397522, 243.184371948, 33.2489089966, 33.4100036621, 33.4879798889, 22712.9807026, 8149.80859375, 8149.80859375, 8149.80859375, 7556.2421875, 7556.2421875, 7556.2421875, -2941.11751302, -2941.11751302, -2941.11751302, 50.0, 50.0, 50.0, 0.938665449619, 0.938665449619, 0.938665449619, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524257207.99, 803.357543945, 28.2938117981, 238.379623413, 238.369247437, 238.361022949, 33.8842353821, 33.9265327454, 33.8278846741, 22730.047155, 8055.546875, 8055.546875, 8055.546875, 7514.87565104, 7514.87565104, 7514.87565104, -2939.55924479, -2939.55924479, -2939.55924479, 50.0, 50.0, 50.0, 0.935730159283, 0.935730159283, 0.935730159283, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524257208.57, 798.929260254, 28.4518280029, 238.305618286, 238.301864624, 238.306228638, 33.9394187927, 34.0534973145, 34.2963256836, 22730.9978993, 8135.96289062, 8135.96289062, 8135.96289062, 7635.08919271, 7635.08919271, 7635.08919271, -2859.71354167, -2859.71354167, -2859.71354167, 50.0, 50.0, 50.0, 0.933102190495, 0.933102190495, 0.933102190495, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524257208.62, 806.274291992, 28.2738208771, 238.303283691, 238.307510376, 238.310195923, 34.250328064, 34.0726470947, 34.3630752563, 22796.4549096, 8188.65039062, 8188.65039062, 8188.65039062, 7644.87174479, 7644.87174479, 7644.87174479, -2908.61263021, -2908.61263021, -2908.61263021, 50.0, 50.0, 50.0, 0.932003557682, 0.932003557682, 0.932003557682, 0.0, 0.0, 238.305618286, -2859.71354167, 238.346125, -2875.0, -3375.0, -2375.0, 500.0, 500.0, 238.301864624, -2859.71354167, 238.346125, -2875.0, -3375.0, -2375.0, 500.0, 500.0, 238.306228638, -2859.71354167, 238.346125, -2875.0, -3375.0, -2375.0, 500.0, 500.0
