TIME, DC_V, DC_I, AC_VRMS_1, AC_VRMS_2, AC_VRMS_3, AC_IRMS_1, AC_IRMS_2, AC_IRMS_3, DC_P, AC_S_1, AC_S_2, AC_S_3, AC_P_1, AC_P_2, AC_P_3, AC_Q_1, AC_Q_2, AC_Q_3, AC_FREQ_1, AC_FREQ_2, AC_FREQ_3, AC_PF_1, AC_PF_2, AC_PF_3, TRIG, TRIG_GRID, V_ACT_1, Q_ACT_1, V_TARGET_1, Q_TARGET_1, Q_MIN_1, Q_MAX_1, Q_MIN_ERROR_1, Q_MAX_ERROR_1, V_ACT_2, Q_ACT_2, V_TARGET_2, Q_TARGET_2, Q_MIN_2, Q_MAX_2, Q_MIN_ERROR_2, Q_MAX_ERROR_2, V_ACT_3, Q_ACT_3, V_TARGET_3, Q_TARGET_3, Q_MIN_3, Q_MAX_3, Q_MIN_ERROR_3, Q_MAX_ERROR_3
1524255486.14, 1007.33624268, 0.00359756266698, 211.637878418, 211.621154785, 211.610412598, 54.5405311584, 54.5898399353, 54.3323554993, 3.62395525975, 11545.0625, 11545.0625, 11545.0625, -69.2022806803, -69.2022806803, -69.2022806803, 11487.0820312, 11487.0820312, 11487.0820312, 50.0, 50.0, 50.0, -0.0126095488667, -0.0126095488667, -0.0126095488667, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524255486.71, 1012.73406982, 0.340657860041, 211.568222046, 211.549468994, 211.568984985, 54.5300064087, 54.6689109802, 54.5165557861, 344.995821017, 11509.859375, 11509.859375, 11509.859375, 25.8937759399, 25.8937759399, 25.8937759399, 11500.6731771, 11500.6731771, 11500.6731771, 50.0, 50.0, 50.0, 0.00515340873972, 0.00515340873972, 0.00515340873972, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524255486.75, 1011.45404053, -0.0442405343056, 211.5675354, 211.546646118, 211.55921936, 54.5666465759, 54.7226753235, 54.5474014282, -44.7472671785, 11554.8072917, 11554.8072917, 11554.8072917, -33.4479548136, -33.4479548136, -33.4479548136, 11514.4544271, 11514.4544271, 11514.4544271, 50.0, 50.0, 50.0, 0.00319212558679, 0.00319212558679, 0.00319212558679, 0.0, 0.0, 211.568222046, 11500.6731771, 211.6, 11500.0, 11000.0, 12000.0, 500.0, 500.0, 211.549468994, 11500.6731771, 211.6, 11500.0, 11000.0, 12000.0, 500.0, 500.0, 211.568984985, 11500.6731771, 211.6, 11500.0, 11000.0, 12000.0, 500.0, 500.0
1524255487.15, 1011.03979492, -0.0279356967658, 216.169143677, 216.160583496, 216.178466797, 53.4462776184, 53.7066612244, 53.4992713928, -28.2441011291, 11469.2669271, 11469.2669271, 11469.2669271, 35.3714650472, 35.3714650472, 35.3714650472, 11639.9140625, 11639.9140625, 11639.9140625, 50.0, 50.0, 50.0, 0.00690009631217, 0.00690009631217, 0.00690009631217, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524255488.16, 1012.21435547, 0.759102404118, 216.265594482, 216.282424927, 216.275985718, 53.3544616699, 53.5321960449, 53.2902908325, 768.374350719, 11527.1302083, 11527.1302083, 11527.1302083, -26.5755844116, -26.5755844116, -26.5755844116, 11592.8893229, 11592.8893229, 11592.8893229, 50.0, 50.0, 50.0, -0.00406746100634, -0.00406746100634, -0.00406746100634, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524255488.2, 1010.91308594, 0.0180590394884, 216.271438599, 216.289855957, 216.274017334, 53.3248100281, 53.5016517639, 53.2535629272, 18.2561193383, 11475.0494792, 11475.0494792, 11475.0494792, 15.9247385661, 15.9247385661, 15.9247385661, 11530.1458333, 11530.1458333, 11530.1458333, 50.0, 50.0, 50.0, -0.00288576865569, -0.00288576865569, -0.00288576865569, 0.0, 0.0, 216.265594482, 11592.8893229, 216.2, 11500.0, 11000.0, 12000.0, 500.0, 500.0, 216.282424927, 11592.8893229, 216.2, 11500.0, 11000.0, 12000.0, 500.0, 500.0, 216.275985718, 11592.8893229, 216.2, 11500.0, 11000.0, 12000.0, 500.0, 500.0
1524255488.25, 1011.76074219, 0.465660512447, 216.277053833, 216.283798218, 216.272888184, 53.2875366211, 53.4562454224, 53.1923751831, 471.137025681, 11617.546875, 11617.546875, 11617.546875, -31.2601623535, -31.2601623535, -31.2601623535, 11633.6471354, 11633.6471354, 11633.6471354, 50.0, 50.0, 50.0, 0.00462770927697, 0.00462770927697, 0.00462770927697, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524255489.14, 1011.28277588, -3.57944372809e-05, 220.81489563, 220.801879883, 220.805053711, 52.2664031982, 52.3677940369, 52.0898780823, -0.0361982978944, 11543.984375, 11543.984375, 11543.984375, -5.54294840495, -5.54294840495, -5.54294840495, 11516.3919271, 11516.3919271, 11516.3919271, 50.0, 50.0, 50.0, -0.00674209417775, -0.00674209417775, -0.00674209417775, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524255489.7, 1014.62463379, -0.0489661730826, 220.794586182, 220.778610229, 220.793045044, 52.3019638062, 52.5172042847, 52.2939300537, -49.682285432, 11547.7526042, 11547.7526042, 11547.7526042, -30.7774098714, -30.7774098714, -30.7774098714, 11539.4765625, 11539.4765625, 11539.4765625, 50.0, 50.0, 50.0, 0.000894407101441, 0.000894407101441, 0.000894407101441, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
1524255489.74, 1013.88293457, 0.0134896505624, 220.79335022, 220.783493042, 220.792312622, 52.3323822021, 52.5237846375, 52.406665802, 13.6769264985, 11643.9804688, 11643.9804688, 11643.9804688, 10.6933797201, 10.6933797201, 10.6933797201, 11496.3085938, 11496.3085938, 11496.3085938, 50.0, 50.0, 50.0, 0.00231501110829, 0.00231501110829, 0.00231501110829, 0.0, 0.0, 220.794586182, 11539.4765625, 220.8, 11500.0, 11000.0, 12000.0, 500.0, 500.0, 220.778610229, 11539.4765625, 220.8, 11500.0, 11000.0, 12000.0, 500.0, 500.0, 220.793045044, 11539.4765625, 220.8, 11500.0, 11000.0, 12000.0, 500.0, 500.0
1524255490.15, 1012.96148682, -0.0183517448604, 225.409118652, 225.40447998, 225.408615112, 51.2459564209, 51.5756034851, 51.3296546936, -18.5896107595, 11551.8164062, 11551.8164062, 11551.8164062, 56.2362060547, 56.2362060547, 56.2362060547, 11494.2447917, 11494.2447917, 11494.2447917, 50.0, 50.0, 50.0, 0.00863219797611, 0.00863219797611, 0.00863219797611, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , 
