Result, Test Name, Power Priority, Power Level, Iteration, Var MSA, Dataset File,Point Result 1, Var Actual 1, Var Target 1, Var Min Allowed 1, Var Max Allowed 1,Point Result 2, Var Actual 2, Var Target 2, Var Min Allowed 2, Var Max Allowed 2,Point Result 3, Var Actual 3, Var Target 3, Var Min Allowed 3, Var Max Allowed 3
, , , , , , , Fail, -10040.281901, -11500.0, -12000.0, -11000.0, Fail, -10040.281901, -11500.0, -12000.0, -11000.0, Fail, -10040.281901, -11500.0, -12000.0, -11000.0
, , , , , , , Fail, -9902.59114583, -11500.0, -12000.0, -11000.0, Fail, -9902.59114583, -11500.0, -12000.0, -11000.0, Fail, -9902.59114583, -11500.0, -12000.0, -11000.0
, , , , , , , Fail, -9738.1015625, -11500.0, -12000.0, -11000.0, Fail, -9738.1015625, -11500.0, -12000.0, -11000.0, Fail, -9738.1015625, -11500.0, -12000.0, -11000.0
, , , , , , , Fail, -5831.98893229, -11500.0, -12000.0, -7690.53333333, Fail, -5831.98893229, -11500.0, -12000.0, -7691.5, Fail, -5831.98893229, -11500.0, -12000.0, -7675.83333333
, , , , , , , Fail, -1948.20296224, -8655.03333333, -12000.0, -4821.7, Fail, -1948.20296224, -8627.6, -12000.0, -4794.26666667, Fail, -1948.20296224, -8628.2, -12000.0, -4794.86666667
, , , , , , , Fail, -21.4586868286, -5825.83333333, -9659.16666667, -1992.5, Fail, -21.4586868286, -5770.43333333, -9603.76666667, -1937.1, Fail, -21.4586868286, -5726.13333333, -9559.46666667, -1892.8
, , , , , , , Pass, 9.80778503418, -2850.63333333, -6683.96666667, 500.0, Pass, 9.80778503418, -2773.53333333, -6606.86666667, 500.0, Pass, 9.80778503418, -2760.2, -6593.53333333, 500.0
, , , , , , , Pass, -24.3436228434, 0.0, -3794.6, 500.0, Pass, -24.3436228434, 0.0, -3710.26666667, 500.0, Pass, -24.3436228434, 0.0, -3709.66666667, 500.0
, , , , , , , Fail, 950.494547526, 0.0, -1795.3, 500.0, Fail, 950.494547526, 0.0, -1835.36666667, 500.0, Fail, 950.494547526, 0.0, -1852.16666667, 500.0
, , , , , , , Fail, 2302.43994141, 0.0, -500.0, 500.0, Fail, 2302.43994141, 0.0, -500.0, 500.0, Fail, 2302.43994141, 0.0, -500.0, 500.0
, , , , , , , Fail, 3756.30403646, 0.0, -500.0, 1911.36666667, Fail, 3756.30403646, 0.0, -500.0, 1872.96666667, Fail, 3756.30403646, 0.0, -500.0, 1854.86666667
, , , , , , , Fail, 5159.20377604, 0.0, -500.0, 3805.4, Fail, 5159.20377604, 0.0, -500.0, 3770.8, Fail, 5159.20377604, 0.0, -500.0, 3731.23333333
, , , , , , , Fail, 7251.08528646, 2791.06666667, -500.0, 6624.4, Fail, 7251.08528646, 2780.83333333, -500.0, 6614.16666667, Fail, 7251.08528646, 2783.7, -500.0, 6617.03333333
, , , , , , , Pass, 9367.01432292, 5676.86666667, 1843.53333333, 9510.2, Pass, 9367.01432292, 5671.3, 1837.96666667, 9504.63333333, Pass, 9367.01432292, 5662.1, 1828.76666667, 9495.43333333
, , , , , , , Pass, 11383.3046875, 8528.76666667, 4695.43333333, 12000.0, Pass, 11383.3046875, 8556.3, 4722.96666667, 12000.0, Pass, 11383.3046875, 8559.0, 4725.66666667, 12000.0
, , , , , , , Pass, 11507.8411458, 11413.1333333, 7579.8, 12000.0, Pass, 11507.8411458, 11402.8666667, 7569.53333333, 12000.0, Pass, 11507.8411458, 11469.3666667, 7636.03333333, 12000.0
, , , , , , , Pass, 11473.8893229, 11500.0, 11000.0, 12000.0, Pass, 11473.8893229, 11500.0, 11000.0, 12000.0, Pass, 11473.8893229, 11500.0, 11000.0, 12000.0
, , , , , , , Pass, 11508.6666667, 11500.0, 11000.0, 12000.0, Pass, 11508.6666667, 11500.0, 11000.0, 12000.0, Pass, 11508.6666667, 11500.0, 11000.0, 12000.0
, , , , , , , Pass, 11563.5091146, 11500.0, 11000.0, 12000.0, Pass, 11563.5091146, 11500.0, 11000.0, 12000.0, Pass, 11563.5091146, 11500.0, 11000.0, 12000.0
Fail, VV_1_100_down_1, Reactive, 100.0, 3, 1500.0, VV_1_100_down_1.csv, , , , , , , , , , , , , , , 
, , , , , , , Pass, 11500.6731771, 11500.0, 11000.0, 12000.0, Pass, 11500.6731771, 11500.0, 11000.0, 12000.0, Pass, 11500.6731771, 11500.0, 11000.0, 12000.0
, , , , , , , Pass, 11592.8893229, 11500.0, 11000.0, 12000.0, Pass, 11592.8893229, 11500.0, 11000.0, 12000.0, Pass, 11592.8893229, 11500.0, 11000.0, 12000.0
, , , , , , , Pass, 11539.4765625, 11500.0, 11000.0, 12000.0, Pass, 11539.4765625, 11500.0, 11000.0, 12000.0, Pass, 11539.4765625, 11500.0, 11000.0, 12000.0
, , , , , , , Pass, 11448.4231771, 11404.2333333, 7570.9, 12000.0, Pass, 11448.4231771, 11379.1666667, 7545.83333333, 12000.0, Pass, 11448.4231771, 11430.1333333, 7596.8, 12000.0
, , , , , , , Pass, 11352.9960938, 8533.7, 4700.36666667, 12000.0, Pass, 11352.9960938, 8575.86666667, 4742.53333333, 12000.0, Pass, 11352.9960938, 8584.66666667, 4751.33333333, 12000.0
, , , , , , , Pass, 9531.42057292, 5718.56666667, 1885.23333333, 9551.9, Pass, 9531.42057292, 5741.7, 1908.36666667, 9575.03333333, Pass, 9531.42057292, 5759.1, 1925.76666667, 9592.43333333
, , , , , , , Fail, 7297.66080729, 2899.66666667, -500.0, 6733.0, Fail, 7297.66080729, 2923.2, -500.0, 6756.53333333, Fail, 7297.66080729, 2926.93333333, -500.0, 6760.26666667
, , , , , , , Fail, 4967.10384115, 41.1666666667, -500.0, 3874.5, Fail, 4967.10384115, 90.7333333333, -500.0, 3924.06666667, Fail, 4967.10384115, 95.9666666667, -500.0, 3929.3
