TIME, DC_V, DC_I, AC_VRMS_1, AC_IRMS_1, DC_P, AC_S_1, AC_P_1, AC_Q_1, AC_FREQ_1, AC_PF_1, TRIG, TRIG_GRID, V_ACT_1, Q_ACT_1, V_TARGET_1, Q_TARGET_1, Q_MIN_1, Q_MAX_1, Q_MIN_ERROR_1, Q_MAX_ERROR_1
3607112536.01, 458.255, 4.387, 258.997, 9.847, 1976.943, 2556.096, 1818.704, -1781.882, 60.05, 0.712, 0.0, 0.049, , , , , , , , 
3607112537.35, 458.063, 4.387, 259.032, 9.836, 1976.593, 2556.554, 1825.084, -1776.814, 60.051, 0.714, 0.0, 0.05, , , , , , , , 
3607112537.68, 458.09, 4.386, 258.984, 9.875, 1976.767, 2561.318, 1831.228, -1776.554, 60.05, 0.715, 0.0, 0.049, , , , , , , , 
3607112537.68, 458.09, 4.386, 258.984, 9.875, 1976.767, 2561.318, 1831.228, -1776.554, 60.05, 0.715, 0.0, 0.049, 258.984, -1776.554, 259.2, -1800.0, -2200.0, -1400.0, 400.0, 400.0
3607112538.35, 459.255, 4.378, 254.32, 10.037, 1977.303, 2556.91, 1835.889, -1766.586, 60.051, 0.718, 0.0, 0.051, , , , , , , , 
3607112539.35, 459.338, 4.378, 254.225, 10.017, 1976.605, 2549.686, 1826.072, -1766.478, 60.051, 0.716, 0.0, 0.049, , , , , , , , 
3607112540.35, 459.151, 4.379, 254.234, 10.031, 1977.359, 2548.361, 1828.208, -1763.131, 60.051, 0.717, 0.0, 0.05, , , , , , , , 
3607112540.35, 459.151, 4.379, 254.234, 10.031, 1977.359, 2548.361, 1828.208, -1763.131, 60.051, 0.717, 0.0, 0.05, 254.234, -1763.131, 254.4, -1800.0, -2200.0, -1400.0, 400.0, 400.0
3607112540.35, 459.151, 4.379, 254.234, 10.031, 1977.359, 2548.361, 1828.208, -1763.131, 60.051, 0.717, 0.0, 0.05, , , , , , , , 
3607112541.35, 459.993, 4.372, 249.305, 10.195, 1977.198, 2544.754, 1818.811, -1767.978, 60.051, 0.715, 0.0, 0.051, , , , , , , , 
3607112542.35, 460.199, 4.367, 249.317, 10.155, 1976.88, 2539.861, 1809.087, -1771.446, 60.051, 0.712, 0.0, 0.051, , , , , , , , 
