TIME, DC_V, DC_I, AC_VRMS_1, AC_IRMS_1, DC_P, AC_S_1, AC_P_1, AC_Q_1, AC_FREQ_1, AC_PF_1, TRIG, TRIG_GRID, V_ACT_1, Q_ACT_1, V_TARGET_1, Q_TARGET_1, Q_MIN_1, Q_MAX_1, Q_MIN_ERROR_1, Q_MAX_ERROR_1
3607112105.68, 511.731, 5.376, 221.027, 13.269, 2712.122, 2936.579, 2556.139, 1440.73, 60.051, -0.87, 0.0, 0.056, , , , , , , , 
3607112106.68, 511.922, 5.38, 220.999, 13.253, 2712.002, 2933.088, 2554.362, 1434.159, 60.051, -0.871, 0.0, 0.054, , , , , , , , 
3607112107.35, 511.788, 5.391, 221.043, 13.308, 2714.767, 2944.819, 2563.682, 1444.119, 60.05, -0.871, 0.0, 0.054, , , , , , , , 
3607112107.35, 511.788, 5.391, 221.043, 13.308, 2714.767, 2944.819, 2563.682, 1444.119, 60.05, -0.871, 0.0, 0.054, 221.043, 1444.119, 220.8, 1800.0, 1400.0, 2200.0, 400.0, 400.0
3607112107.68, 512.356, 5.492, 223.046, 13.128, 2731.461, 2931.44, 2551.186, 1433.464, 60.049, -0.87, 0.0, 0.327, , , , , , , , 
3607112108.68, 513.042, 5.346, 225.77, 12.943, 2698.188, 2926.404, 2546.121, 1434.749, 60.05, -0.87, 0.0, 0.053, , , , , , , , 
3607112109.68, 512.765, 5.383, 225.825, 12.976, 2707.019, 2933.506, 2552.579, 1438.051, 60.05, -0.87, 0.0, 0.054, , , , , , , , 
3607112109.68, 512.765, 5.383, 225.825, 12.976, 2707.019, 2933.506, 2552.579, 1438.051, 60.05, -0.87, 0.0, 0.054, 225.825, 1438.051, 225.6, 1800.0, 1400.0, 2200.0, 400.0, 400.0
3607112109.68, 512.765, 5.383, 225.825, 12.976, 2707.019, 2933.506, 2552.579, 1438.051, 60.05, -0.87, 0.0, 0.054, , , , , , , , 
3607112110.68, 515.594, 5.306, 230.641, 12.536, 2671.306, 2895.863, 2513.497, 1431.921, 60.05, -0.868, 0.0, 0.055, , , , , , , , 
3607112111.68, 512.554, 5.37, 230.684, 12.734, 2705.582, 2940.712, 2559.777, 1439.27, 60.05, -0.871, 0.0, 0.051, , , , , , , , 
3607112112.35, 512.269, 5.383, 230.656, 12.699, 2710.767, 2932.935, 2557.284, 1430.972, 60.05, -0.872, 0.0, 0.051, , , , , , , , 
3607112112.35, 512.269, 5.383, 230.656, 12.699, 2710.767, 2932.935, 2557.284, 1430.972, 60.05, -0.872, 0.0, 0.051, 230.656, 1430.972, 230.4, 1800.0, 1400.0, 2200.0, 400.0, 400.0
