TIME, DC_V, DC_I, AC_VRMS_1, AC_IRMS_1, DC_P, AC_S_1, AC_P_1, AC_Q_1, AC_FREQ_1, AC_PF_1, TRIG, TRIG_GRID, V_ACT_1, Q_ACT_1, V_TARGET_1, Q_TARGET_1, Q_MIN_1, Q_MAX_1, Q_MIN_ERROR_1, Q_MAX_ERROR_1
3607113208.68, 458.772, 4.38, 259.675, 8.101, 1976.712, 2111.268, 1851.084, -995.244, 60.051, 0.877, 0.0, 0.049, , , , , , , , 
3607113209.68, 458.903, 4.38, 259.674, 8.111, 1976.789, 2112.541, 1851.652, -994.333, 60.051, 0.877, 0.0, 0.051, , , , , , , , 
3607113210.35, 459.004, 4.38, 259.698, 8.118, 1977.137, 2115.986, 1857.589, -991.76, 60.051, 0.878, 0.0, 0.05, , , , , , , , 
3607113210.35, 459.004, 4.38, 259.698, 8.118, 1977.137, 2115.986, 1857.589, -991.76, 60.051, 0.878, 0.0, 0.05, 259.698, -991.76, 259.8, -900.0, -1300.0, -500.0, 400.0, 400.0
3607113210.68, 459.032, 4.379, 257.762, 8.177, 1976.812, 2115.621, 1856.303, -992.36, 60.051, 0.878, 0.0, 0.328, , , , , , , , 
3607113211.68, 457.953, 4.388, 255.503, 8.253, 1977.043, 2110.557, 1854.722, -987.528, 60.051, 0.879, 0.0, 0.051, , , , , , , , 
3607113212.68, 458.075, 4.387, 255.512, 8.231, 1976.794, 2109.111, 1852.319, -987.859, 60.051, 0.878, 0.0, 0.051, , , , , , , , 
3607113212.68, 458.075, 4.387, 255.512, 8.231, 1976.794, 2109.111, 1852.319, -987.859, 60.051, 0.878, 0.0, 0.051, 255.512, -987.859, 255.6, -900.0, -1300.0, -500.0, 400.0, 400.0
3607113212.68, 458.075, 4.387, 255.512, 8.231, 1976.794, 2109.111, 1852.319, -987.859, 60.051, 0.878, 0.0, 0.051, , , , , , , , 
3607113213.68, 458.097, 4.385, 251.358, 8.338, 1976.231, 2105.232, 1852.859, -981.354, 60.051, 0.88, 0.0, 0.05, , , , , , , , 
3607113214.68, 457.757, 4.392, 251.313, 8.353, 1976.424, 2104.21, 1851.055, -981.058, 60.051, 0.88, 0.0, 0.05, , , , , , , , 
3607113215.35, 456.893, 4.397, 251.319, 8.362, 1976.071, 2111.259, 1859.356, -981.127, 60.05, 0.881, 0.0, 0.049, , , , , , , , 
3607113215.35, 456.893, 4.397, 251.319, 8.362, 1976.071, 2111.259, 1859.356, -981.127, 60.05, 0.881, 0.0, 0.049, 251.319, -981.127, 251.4, -900.0, -1300.0, -500.0, 400.0, 400.0
