Result, Test Name, Power Priority, Power Level, Iteration, Var MSA, Dataset File,Point Result, Var Actual, Var Target, Var Min Allowed, Var Max Allowed
, , , , , , , Pass, -1014.147, -900.0, -1300.0, -500.0
, , , , , , , Pass, -1012.942, -900.0, -1300.0, -500.0
, , , , , , , Pass, -1009.776, -900.0, -1300.0, -500.0
, , , , , , , Pass, -997.254, -898.1, -1300.0, -123.1
, , , , , , , Pass, -1005.575, -705.0, -1300.0, 70.0
, , , , , , , Pass, -998.779, -469.5, -1244.5, 305.5
, , , , , , , Pass, -995.968, -241.5, -1016.5, 400.0
, , , , , , , Fail, -996.849, -1.1, -776.1, 400.0
, , , , , , , Fail, -913.861, 0.0, -400.0, 400.0
, , , , , , , Pass, -207.076, 0.0, -400.0, 400.0
, , , , , , , Pass, -212.14, 0.0, -400.0, 400.0
, , , , , , , Pass, -199.947, 0.0, -400.0, 715.0
, , , , , , , Pass, -209.634, 162.4, -400.0, 937.4
, , , , , , , Pass, -196.305, 389.6, -385.4, 1164.6
, , , , , , , Fail, -202.892, 613.9, -161.1, 1300.0
, , , , , , , Fail, -197.015, 838.5, 63.5, 1300.0
, , , , , , , Fail, 417.188, 900.0, 500.0, 1300.0
, , , , , , , Pass, 621.018, 900.0, 500.0, 1300.0
, , , , , , , Pass, 614.511, 900.0, 500.0, 1300.0
Fail, VV_2_100_down_1, Reactive, 100.0, 3, 400.0, VV_2_100_down_1.csv, , , , , 
, , , , , , , Pass, 621.337, 900.0, 500.0, 1300.0
, , , , , , , Pass, 616.508, 900.0, 500.0, 1300.0
, , , , , , , Fail, 416.783, 900.0, 500.0, 1300.0
, , , , , , , Fail, -194.657, 826.1, 51.1, 1300.0
, , , , , , , Fail, -203.077, 585.4, -189.6, 1300.0
, , , , , , , Pass, -192.249, 374.6, -400.0, 1149.6
, , , , , , , Pass, -205.413, 136.1, -400.0, 911.1
, , , , , , , Pass, -202.241, 0.0, -400.0, 687.6
, , , , , , , Pass, -203.75, 0.0, -400.0, 400.0
, , , , , , , Pass, -206.006, 0.0, -400.0, 400.0
, , , , , , , Fail, -913.049, 0.0, -400.0, 400.0
, , , , , , , Fail, -1000.197, -56.6, -831.6, 400.0
, , , , , , , Pass, -1003.822, -265.9, -1040.9, 400.0
, , , , , , , Pass, -1000.461, -481.9, -1256.9, 293.1
, , , , , , , Pass, -1007.992, -708.4, -1300.0, 66.6
, , , , , , , Pass, -1000.185, -900.0, -1300.0, -166.6
, , , , , , , Pass, -1003.024, -900.0, -1300.0, -500.0
, , , , , , , Pass, -1013.428, -900.0, -1300.0, -500.0
, , , , , , , Pass, -1003.961, -900.0, -1300.0, -500.0
Fail, VV_2_100_up_1, Reactive, 100.0, 3, 400.0, VV_2_100_up_1.csv, , , , , 
, , , , , , , Pass, -1009.186, -900.0, -1300.0, -500.0
, , , , , , , Pass, -1006.401, -900.0, -1300.0, -500.0
, , , , , , , Pass, -1016.113, -900.0, -1300.0, -500.0
, , , , , , , Pass, -1004.123, -900.0, -1300.0, -156.9
, , , , , , , Pass, -1001.325, -712.9, -1300.0, 62.1
, , , , , , , Pass, -1005.008, -496.9, -1271.9, 278.1
, , , , , , , Pass, -1004.72, -265.1, -1040.1, 400.0
, , , , , , , Fail, -998.037, -40.1, -815.1, 400.0
, , , , , , , Fail, -912.509, 0.0, -400.0, 400.0
, , , , , , , Pass, -207.444, 0.0, -400.0, 400.0
, , , , , , , Pass, -215.587, 0.0, -400.0, 400.0
, , , , , , , Pass, -200.768, 0.0, -400.0, 688.7
, , , , , , , Pass, -204.609, 150.0, -400.0, 925.0
, , , , , , , Pass, -194.144, 382.5, -392.5, 1157.5
, , , , , , , Fail, -208.403, 594.7, -180.3, 1300.0
, , , , , , , Fail, -200.198, 823.9, 48.9, 1300.0
, , , , , , , Fail, 421.8, 900.0, 500.0, 1300.0
, , , , , , , Pass, 616.329, 900.0, 500.0, 1300.0
, , , , , , , Pass, 615.984, 900.0, 500.0, 1300.0
Fail, VV_2_100_down_2, Reactive, 100.0, 3, 400.0, VV_2_100_down_2.csv, , , , , 
, , , , , , , Pass, 623.993, 900.0, 500.0, 1300.0
, , , , , , , Pass, 615.362, 900.0, 500.0, 1300.0
, , , , , , , Fail, 420.336, 900.0, 500.0, 1300.0
, , , , , , , Fail, -187.611, 832.1, 57.1, 1300.0
, , , , , , , Fail, -200.855, 614.6, -160.4, 1300.0
, , , , , , , Pass, -203.625, 403.9, -371.1, 1178.9
, , , , , , , Pass, -204.761, 173.6, -400.0, 948.6
, , , , , , , Pass, -207.738, 0.0, -400.0, 729.6
, , , , , , , Pass, -216.475, 0.0, -400.0, 400.0
, , , , , , , Pass, -201.849, 0.0, -400.0, 400.0
, , , , , , , Fail, -903.966, 0.0, -400.0, 400.0
, , , , , , , Fail, -999.941, -14.6, -789.6, 400.0
, , , , , , , Pass, -1000.079, -243.7, -1018.7, 400.0
, , , , , , , Pass, -992.305, -468.7, -1243.7, 306.3
, , , , , , , Pass, -1009.207, -701.2, -1300.0, 73.8
, , , , , , , Pass, -999.696, -900.0, -1300.0, -131.7
, , , , , , , Pass, -1012.677, -900.0, -1300.0, -500.0
, , , , , , , Pass, -1008.738, -900.0, -1300.0, -500.0
, , , , , , , Pass, -1012.835, -900.0, -1300.0, -500.0
Fail, VV_2_100_up_2, Reactive, 100.0, 3, 400.0, VV_2_100_up_2.csv, , , , , 
, , , , , , , Pass, -1012.291, -900.0, -1300.0, -500.0
, , , , , , , Pass, -1011.684, -900.0, -1300.0, -500.0
, , , , , , , Pass, -1012.699, -900.0, -1300.0, -500.0
, , , , , , , Pass, -1001.664, -900.0, -1300.0, -154.6
, , , , , , , Pass, -1008.09, -704.2, -1300.0, 70.8
, , , , , , , Pass, -997.676, -487.5, -1262.5, 287.5
, , , , , , , Pass, -1002.478, -259.5, -1034.5, 400.0
, , , , , , , Fail, -999.002, -50.6, -825.6, 400.0
, , , , , , , Fail, -901.165, 0.0, -400.0, 400.0
, , , , , , , Pass, -207.261, 0.0, -400.0, 400.0
, , , , , , , Pass, -218.411, 0.0, -400.0, 400.0
, , , , , , , Pass, -206.685, 0.0, -400.0, 689.9
, , , , , , , Pass, -201.9, 137.6, -400.0, 912.6
, , , , , , , Pass, -204.247, 366.4, -400.0, 1141.4
, , , , , , , Fail, -201.21, 577.5, -197.5, 1300.0
, , , , , , , Fail, -199.778, 812.2, 37.2, 1300.0
, , , , , , , Fail, 418.436, 900.0, 500.0, 1300.0
, , , , , , , Pass, 615.753, 900.0, 500.0, 1300.0
, , , , , , , Pass, 619.762, 900.0, 500.0, 1300.0
Fail, VV_2_100_down_3, Reactive, 100.0, 3, 400.0, VV_2_100_down_3.csv, , , , , 
, , , , , , , Pass, 613.477, 900.0, 500.0, 1300.0
, , , , , , , Pass, 620.368, 900.0, 500.0, 1300.0
, , , , , , , Fail, 407.985, 900.0, 500.0, 1300.0
, , , , , , , Fail, -203.774, 801.4, 26.4, 1300.0
, , , , , , , Fail, -206.695, 587.6, -187.4, 1300.0
, , , , , , , Pass, -201.156, 365.6, -400.0, 1140.6
, , , , , , , Pass, -193.24, 137.6, -400.0, 912.6
, , , , , , , Pass, -202.31, 0.0, -400.0, 685.7
, , , , , , , Pass, -209.999, 0.0, -400.0, 400.0
, , , , , , , Pass, -198.378, 0.0, -400.0, 400.0
, , , , , , , Fail, -934.964, 0.0, -400.0, 400.0
, , , , , , , Fail, -994.183, -22.5, -797.5, 400.0
, , , , , , , Pass, -998.872, -237.7, -1012.7, 400.0
, , , , , , , Pass, -999.999, -463.1, -1238.1, 311.9
, , , , , , , Pass, -1001.354, -694.9, -1300.0, 80.1
