TIME, DC_V, DC_I, AC_VRMS_1, AC_IRMS_1, DC_P, AC_S_1, AC_P_1, AC_Q_1, AC_FREQ_1, AC_PF_1, TRIG, TRIG_GRID, V_ACT_1, Q_ACT_1, V_TARGET_1, Q_TARGET_1, Q_MIN_1, Q_MAX_1, Q_MIN_ERROR_1, Q_MAX_ERROR_1
3607113352.01, 461.843, 4.353, 220.175, 9.037, 1978.158, 1989.668, 1879.457, 641.916, 60.05, -0.945, 0.0, 0.049, , , , , , , , 
3607113353.01, 461.909, 4.352, 220.244, 8.996, 1977.66, 1985.351, 1874.045, 643.294, 60.051, -0.944, 0.0, 0.05, , , , , , , , 
3607113353.68, 461.882, 4.355, 220.262, 8.972, 1978.78, 1976.757, 1867.796, 635.937, 60.05, -0.945, 0.0, 0.051, , , , , , , , 
3607113353.68, 461.882, 4.355, 220.262, 8.972, 1978.78, 1976.757, 1867.796, 635.937, 60.05, -0.945, 0.0, 0.051, 220.262, 635.937, 220.2, 900.0, 500.0, 1300.0, 400.0, 400.0
3607113354.01, 461.878, 4.353, 220.859, 8.96, 1977.762, 1983.21, 1868.999, 646.214, 60.051, -0.943, 0.0, 0.328, , , , , , , , 
3607113355.01, 462.851, 4.344, 224.449, 8.864, 1977.79, 1997.644, 1888.539, 640.369, 60.05, -0.946, 0.0, 0.051, , , , , , , , 
3607113356.01, 462.881, 4.341, 224.45, 8.841, 1977.253, 1987.165, 1877.633, 637.908, 60.05, -0.945, 0.0, 0.051, , , , , , , , 
3607113356.01, 462.881, 4.341, 224.45, 8.841, 1977.253, 1987.165, 1877.633, 637.908, 60.05, -0.945, 0.0, 0.051, 224.45, 637.908, 224.4, 900.0, 500.0, 1300.0, 400.0, 400.0
3607113356.35, 462.921, 4.345, 224.415, 8.843, 1978.28, 1988.564, 1878.9, 638.508, 60.05, -0.945, 0.0, 0.052, , , , , , , , 
3607113357.01, 462.906, 4.343, 228.608, 8.66, 1977.785, 1980.161, 1871.32, 634.67, 60.05, -0.945, 0.0, 0.05, , , , , , , , 
3607113358.01, 463.218, 4.342, 228.595, 8.68, 1977.977, 1989.512, 1879.189, 639.861, 60.05, -0.945, 0.0, 0.05, , , , , , , , 
3607113358.68, 463.832, 4.336, 228.62, 8.7, 1977.807, 1989.803, 1879.896, 639.809, 60.05, -0.945, 0.0, 0.05, , , , , , , , 
3607113358.68, 463.832, 4.336, 228.62, 8.7, 1977.807, 1989.803, 1879.896, 639.809, 60.05, -0.945, 0.0, 0.05, 228.62, 639.809, 228.6, 900.0, 500.0, 1300.0, 400.0, 400.0
