TIME, DC_V, DC_I, AC_VRMS_1, AC_IRMS_1, DC_P, AC_S_1, AC_P_1, AC_Q_1, AC_FREQ_1, AC_PF_1, TRIG, TRIG_GRID, V_ACT_1, Q_ACT_1, V_TARGET_1, Q_TARGET_1, Q_MIN_1, Q_MAX_1, Q_MIN_ERROR_1, Q_MAX_ERROR_1
3607112826.01, 457.271, 6.642, 259.932, 11.536, 2998.477, 3000.502, 2813.747, -1012.607, 60.051, 0.938, 0.0, 0.05, , , , , , , , 
3607112827.01, 456.963, 6.64, 259.944, 11.569, 2997.841, 3009.025, 2825.554, -1011.025, 60.05, 0.939, 0.0, 0.049, , , , , , , , 
3607112827.68, 457.101, 6.64, 259.981, 11.591, 2997.447, 3016.604, 2831.609, -1012.291, 60.051, 0.939, 0.0, 0.05, , , , , , , , 
3607112827.68, 457.101, 6.64, 259.981, 11.591, 2997.447, 3016.604, 2831.609, -1012.291, 60.051, 0.939, 0.0, 0.05, 259.981, -1012.291, 259.8, -900.0, -1300.0, -500.0, 400.0, 400.0
3607112828.01, 457.256, 6.639, 258.98, 11.596, 2997.829, 3007.354, 2820.231, -1013.438, 60.05, 0.938, 0.0, 0.33, , , , , , , , 
3607112829.01, 457.119, 6.642, 255.722, 11.729, 2998.778, 3002.393, 2816.834, -1012.257, 60.051, 0.938, 0.0, 0.051, , , , , , , , 
3607112830.01, 457.015, 6.64, 255.754, 11.733, 2997.722, 3007.266, 2822.046, -1011.684, 60.051, 0.938, 0.0, 0.05, , , , , , , , 
3607112830.01, 457.015, 6.64, 255.754, 11.733, 2997.722, 3007.266, 2822.046, -1011.684, 60.051, 0.938, 0.0, 0.05, 255.754, -1011.684, 255.6, -900.0, -1300.0, -500.0, 400.0, 400.0
3607112830.01, 457.015, 6.64, 255.754, 11.733, 2997.722, 3007.266, 2822.046, -1011.684, 60.051, 0.938, 0.0, 0.05, , , , , , , , 
3607112831.01, 457.093, 6.64, 251.595, 11.924, 2998.073, 3001.238, 2820.972, -1002.382, 60.05, 0.94, 0.0, 0.05, , , , , , , , 
3607112832.01, 456.913, 6.642, 251.56, 11.918, 2998.112, 3001.811, 2819.14, -1011.093, 60.051, 0.939, 0.0, 0.051, , , , , , , , 
3607112832.68, 457.987, 6.629, 251.599, 11.893, 2999.444, 2998.308, 2814.315, -1012.699, 60.05, 0.939, 0.0, 0.051, , , , , , , , 
3607112832.68, 457.987, 6.629, 251.599, 11.893, 2999.444, 2998.308, 2814.315, -1012.699, 60.05, 0.939, 0.0, 0.051, 251.599, -1012.699, 251.4, -900.0, -1300.0, -500.0, 400.0, 400.0
3607112833.01, 458.016, 6.625, 250.548, 12.011, 2998.674, 3010.007, 2830.558, -1002.177, 60.051, 0.94, 0.0, 0.334, , , , , , , , 
3607112834.01, 458.006, 6.629, 247.286, 12.1, 2998.906, 2994.376, 2816.036, -997.442, 60.051, 0.941, 0.0, 0.052, , , , , , , , 
3607112835.01, 458.108, 6.628, 247.279, 12.065, 2999.24, 2987.76, 2806.269, -1001.664, 60.05, 0.939, 0.0, 0.052, , , , , , , , 
3607112835.01, 458.108, 6.628, 247.279, 12.065, 2999.24, 2987.76, 2806.269, -1001.664, 60.05, 0.939, 0.0, 0.052, 247.279, -1001.664, 247.2, -900.0, -1300.0, -154.6, 400.0, 745.4
3607112835.01, 458.108, 6.628, 247.279, 12.065, 2999.24, 2987.76, 2806.269, -1001.664, 60.05, 0.939, 0.0, 0.052, , , , , , , , 
3607112836.01, 457.995, 6.631, 246.687, 12.12, 2999.412, 2992.457, 2810.778, -1006.532, 60.051, 0.939, 0.0, 0.05, , , , , , , , 
3607112837.01, 457.895, 6.629, 246.669, 12.118, 2998.878, 2992.216, 2811.037, -1006.45, 60.05, 0.94, 0.0, 0.051, , , , , , , , 
3607112837.68, 457.028, 6.64, 246.678, 12.159, 2997.884, 3002.271, 2820.913, -1008.09, 60.051, 0.94, 0.0, 0.05, , , , , , , , 
3607112837.68, 457.028, 6.64, 246.678, 12.159, 2997.884, 3002.271, 2820.913, -1008.09, 60.051, 0.94, 0.0, 0.05, 246.678, -1008.09, 246.6, -704.2, -1300.0, 70.8, 595.8, 775.0
3607112838.01, 456.982, 6.641, 246.53, 12.127, 2998.102, 2993.316, 2811.819, -1006.024, 60.05, 0.939, 0.0, 0.327, , , , , , , , 
3607112839.01, 457.076, 6.643, 246.089, 12.154, 2998.51, 2995.221, 2814.021, -1002.306, 60.05, 0.94, 0.0, 0.051, , , , , , , , 
3607112840.01, 456.937, 6.643, 246.1, 12.155, 2998.45, 2996.075, 2817.783, -997.676, 60.051, 0.941, 0.0, 0.051, , , , , , , , 
3607112840.01, 456.937, 6.643, 246.1, 12.155, 2998.45, 2996.075, 2817.783, -997.676, 60.051, 0.941, 0.0, 0.051, 246.1, -997.676, 246.0, -487.5, -1262.5, 287.5, 775.0, 775.0
3607112840.01, 456.937, 6.643, 246.1, 12.155, 2998.45, 2996.075, 2817.783, -997.676, 60.051, 0.941, 0.0, 0.051, , , , , , , , 
3607112841.01, 456.897, 6.642, 245.48, 12.206, 2997.785, 3000.207, 2820.461, -1003.384, 60.05, 0.94, 0.0, 0.052, , , , , , , , 
3607112842.01, 456.675, 6.645, 245.515, 12.216, 2997.686, 3000.62, 2821.278, -1002.449, 60.051, 0.94, 0.0, 0.051, , , , , , , , 
3607112842.68, 455.927, 6.653, 245.492, 12.181, 2996.826, 2991.905, 2811.769, -1002.478, 60.05, 0.94, 0.0, 0.051, , , , , , , , 
3607112842.68, 455.927, 6.653, 245.492, 12.181, 2996.826, 2991.905, 2811.769, -1002.478, 60.05, 0.94, 0.0, 0.051, 245.492, -1002.478, 245.4, -259.5, -1034.5, 400.0, 775.0, 659.5
3607112843.01, 456.079, 6.653, 245.369, 12.238, 2997.765, 3003.22, 2824.214, -1000.675, 60.051, 0.94, 0.0, 0.328, , , , , , , , 
3607112844.01, 456.055, 6.653, 244.896, 12.231, 2997.15, 2995.789, 2817.592, -997.332, 60.051, 0.941, 0.0, 0.052, , , , , , , , 
3607112845.01, 455.978, 6.654, 244.935, 12.214, 2997.551, 2994.157, 2815.772, -999.002, 60.05, 0.94, 0.0, 0.051, , , , , , , , 
3607112845.01, 455.978, 6.654, 244.935, 12.214, 2997.551, 2994.157, 2815.772, -999.002, 60.05, 0.94, 0.0, 0.051, 244.935, -999.002, 244.8, -50.6, -825.6, 400.0, 775.0, 450.6
3607112845.01, 455.978, 6.654, 244.935, 12.214, 2997.551, 2994.157, 2815.772, -999.002, 60.05, 0.94, 0.0, 0.051, , , , , , , , 
3607112846.01, 455.952, 6.653, 242.544, 12.349, 2997.095, 2995.306, 2818.083, -995.424, 60.051, 0.941, 0.0, 0.051, , , , , , , , 
