TIME, DC_V, DC_I, AC_VRMS_1, AC_IRMS_1, DC_P, AC_S_1, AC_P_1, AC_Q_1, AC_FREQ_1, AC_PF_1, TRIG, TRIG_GRID, V_ACT_1, Q_ACT_1, V_TARGET_1, Q_TARGET_1, Q_MIN_1, Q_MAX_1, Q_MIN_ERROR_1, Q_MAX_ERROR_1
3607113448.01, 465.97, 1.327, 219.964, 3.523, 588.93, 778.737, 560.787, 530.71, 60.05, -0.721, 0.0, 0.047, , , , , , , , 
3607113449.01, 466.442, 1.324, 219.952, 3.601, 587.666, 796.557, 571.991, 544.926, 60.05, -0.719, 0.0, 0.046, , , , , , , , 
3607113449.68, 466.485, 1.325, 219.915, 3.535, 588.619, 782.1, 564.164, 531.558, 60.05, -0.722, 0.0, 0.047, , , , , , , , 
3607113449.68, 466.485, 1.325, 219.915, 3.535, 588.619, 782.1, 564.164, 531.558, 60.05, -0.722, 0.0, 0.047, 219.915, 531.558, 220.2, 900.0, 500.0, 1300.0, 400.0, 400.0
3607113450.01, 466.461, 1.325, 221.292, 3.444, 588.494, 766.286, 550.791, 520.601, 60.051, -0.719, 0.0, 0.329, , , , , , , , 
3607113451.01, 466.404, 1.324, 224.136, 3.483, 587.931, 784.384, 564.821, 533.178, 60.05, -0.721, 0.0, 0.051, , , , , , , , 
3607113452.01, 465.565, 1.328, 224.135, 3.495, 588.279, 787.392, 565.545, 536.774, 60.05, -0.719, 0.0, 0.05, , , , , , , , 
3607113452.01, 465.565, 1.328, 224.135, 3.495, 588.279, 787.392, 565.545, 536.774, 60.05, -0.719, 0.0, 0.05, 224.135, 536.774, 224.4, 900.0, 500.0, 1300.0, 400.0, 400.0
3607113452.01, 465.565, 1.328, 224.135, 3.495, 588.279, 787.392, 565.545, 536.774, 60.05, -0.719, 0.0, 0.05, , , , , , , , 
3607113453.01, 465.484, 1.328, 228.291, 3.42, 588.672, 785.878, 564.753, 534.435, 60.051, -0.719, 0.0, 0.049, , , , , , , , 
3607113454.01, 465.527, 1.329, 228.337, 3.406, 588.511, 782.85, 562.639, 533.614, 60.051, -0.719, 0.0, 0.051, , , , , , , , 
3607113454.68, 465.447, 1.328, 228.323, 3.407, 588.101, 782.282, 562.772, 532.58, 60.051, -0.72, 0.0, 0.049, , , , , , , , 
3607113454.68, 465.447, 1.328, 228.323, 3.407, 588.101, 782.282, 562.772, 532.58, 60.051, -0.72, 0.0, 0.049, 228.323, 532.58, 228.6, 900.0, 500.0, 1300.0, 400.0, 400.0
3607113455.01, 464.504, 1.328, 229.373, 3.344, 588.198, 772.693, 551.732, 523.774, 60.05, -0.715, 0.0, 0.328, , , , , , , , 
3607113456.01, 464.52, 1.331, 232.508, 2.434, 588.88, 570.913, 557.534, 8.403, 60.051, -0.978, 0.0, 0.051, , , , , , , , 
3607113457.01, 464.847, 1.331, 232.513, 2.495, 588.826, 584.799, 568.203, -47.491, 60.05, 0.974, 0.0, 0.052, , , , , , , , 
