TIME, DC_V, DC_I, AC_VRMS_1, AC_IRMS_1, DC_P, AC_S_1, AC_P_1, AC_Q_1, AC_FREQ_1, AC_PF_1, TRIG, TRIG_GRID, V_ACT_1, Q_ACT_1, V_TARGET_1, Q_TARGET_1, Q_MIN_1, Q_MAX_1, Q_MIN_ERROR_1, Q_MAX_ERROR_1
3607113017.68, 462.945, 4.344, 259.785, 8.145, 1977.609, 2119.372, 1861.443, -990.878, 60.05, 0.878, 0.0, 0.05, , , , , , , , 
3607113018.68, 463.913, 4.334, 259.771, 8.142, 1977.77, 2118.821, 1861.689, -991.485, 60.05, 0.879, 0.0, 0.05, , , , , , , , 
3607113019.01, 463.845, 4.333, 259.78, 8.12, 1977.454, 2113.851, 1856.786, -987.549, 60.051, 0.879, 0.0, 0.048, , , , , , , , 
3607113019.01, 463.845, 4.333, 259.78, 8.12, 1977.454, 2113.851, 1856.786, -987.549, 60.051, 0.879, 0.0, 0.048, 259.78, -987.549, 259.8, -900.0, -1300.0, -500.0, 400.0, 400.0
3607113019.68, 463.971, 4.334, 256.423, 8.237, 1977.468, 2116.662, 1860.225, -989.54, 60.051, 0.879, 0.0, 0.328, , , , , , , , 
3607113020.68, 464.002, 4.331, 255.577, 8.25, 1977.321, 2111.811, 1857.374, -983.813, 60.051, 0.88, 0.0, 0.05, , , , , , , , 
3607113021.68, 462.957, 4.341, 255.597, 8.262, 1977.699, 2115.182, 1860.01, -986.031, 60.05, 0.879, 0.0, 0.049, , , , , , , , 
3607113021.68, 462.957, 4.341, 255.597, 8.262, 1977.699, 2115.182, 1860.01, -986.031, 60.05, 0.879, 0.0, 0.049, 255.597, -986.031, 255.6, -900.0, -1300.0, -500.0, 400.0, 400.0
3607113021.68, 462.957, 4.341, 255.597, 8.262, 1977.699, 2115.182, 1860.01, -986.031, 60.05, 0.879, 0.0, 0.049, , , , , , , , 
3607113022.68, 462.989, 4.342, 251.352, 8.364, 1977.217, 2106.473, 1851.906, -984.692, 60.05, 0.879, 0.0, 0.05, , , , , , , , 
3607113023.68, 462.966, 4.343, 251.361, 8.366, 1977.408, 2106.506, 1855.015, -980.548, 60.05, 0.881, 0.0, 0.048, , , , , , , , 
3607113024.01, 463.077, 4.342, 251.363, 8.357, 1977.204, 2105.381, 1853.251, -979.562, 60.05, 0.88, 0.0, 0.049, , , , , , , , 
