TIME, DC_V, DC_I, AC_VRMS_1, AC_IRMS_1, DC_P, AC_S_1, AC_P_1, AC_Q_1, AC_FREQ_1, AC_PF_1, TRIG, TRIG_GRID, PF_TARGET, PF_MAX, PF_MIN
3607111929.01, 453.023, 6.693, 240.382, 12.543, 2994.457, 3015.622, 2849.477, 976.585, 60.051, -0.945, 0.0, 0.059, -0.925, -0.895, -0.955
3607111930.01, 495.62, 6.435, 240.263, 12.207, 2941.164, 2937.301, 2774.649, 951.486, 60.05, -0.945, 0.0, 0.055, -0.925, -0.895, -0.955
3607111931.01, 489.002, 6.665, 240.317, 12.2, 2956.3, 2933.9, 2774.819, 933.678, 60.05, -0.946, 0.0, 0.048, -0.925, -0.895, -0.955
3607111932.01, 500.76, 6.497, 240.363, 12.225, 2919.224, 2940.194, 2773.744, 953.316, 60.05, -0.943, 0.0, 0.052, -0.925, -0.895, -0.955
3607111933.01, 486.189, 6.675, 240.329, 12.346, 2963.941, 2967.649, 2804.85, 949.338, 60.051, -0.945, 0.0, 0.057, -0.925, -0.895, -0.955
3607111934.01, 501.661, 6.5, 240.327, 12.346, 2914.199, 2968.18, 2800.393, 966.123, 60.051, -0.944, 0.0, 0.057, -0.925, -0.895, -0.955
