TIME, DC_V, DC_I, AC_VRMS_1, AC_IRMS_1, DC_P, AC_S_1, AC_P_1, AC_Q_1, AC_FREQ_1, AC_PF_1, TRIG, TRIG_GRID, PF_TARGET, PF_MAX, PF_MIN
3607111987.68, 447.667, 3.39, 239.795, 5.92, 1486.885, 1422.127, 1404.56, -166.673, 60.05, 0.988, 0.0, 0.053, 1.0, 0.97, -0.97
3607111988.68, 448.709, 3.388, 239.812, 5.933, 1488.566, 1426.43, 1409.117, -164.349, 60.051, 0.988, 0.0, 0.054, 1.0, 0.97, -0.97
3607111989.68, 448.648, 3.387, 239.833, 5.93, 1488.292, 1426.087, 1408.583, -164.784, 60.05, 0.988, 0.0, 0.054, 1.0, 0.97, -0.97
3607111990.68, 448.657, 3.386, 239.807, 5.908, 1488.246, 1424.058, 1406.27, -171.349, 60.05, 0.988, 0.0, 0.054, 1.0, 0.97, -0.97
3607111991.68, 447.987, 3.39, 239.847, 5.921, 1486.882, 1423.656, 1406.32, -168.806, 60.051, 0.988, 0.0, 0.058, 1.0, 0.97, -0.97
