Result, Test Name, Power Level (%), Iteration, PF Actual, PF Target, PF MSA, PF Min Allowed, PF Max Allowed, Dataset File
Pass, SPF_mid_cap, 100, 1, 0.996, 1.0, 0.03, -0.97, 0.97, spf_1000_100_1.csv
Pass, SPF_mid_cap, 100, 1, -0.944, -0.925, 0.03, -0.955, -0.895, spf_-925.0_100_1.csv
Pass, SPF_mid_cap, 100, 2, 0.996, 1.0, 0.03, -0.97, 0.97, spf_1000_100_2.csv
Pass, SPF_mid_cap, 100, 2, -0.945, -0.925, 0.03, -0.955, -0.895, spf_-925.0_100_2.csv
Pass, SPF_mid_cap, 100, 3, 0.996, 1.0, 0.03, -0.97, 0.97, spf_1000_100_3.csv
Pass, SPF_mid_cap, 100, 3, -0.943, -0.925, 0.03, -0.955, -0.895, spf_-925.0_100_3.csv
Pass, SPF_mid_cap, 50.0, 1, 0.988, 1.0, 0.03, -0.97, 0.97, spf_1000_50_1.csv
Pass, SPF_mid_cap, 50.0, 1, -0.952, -0.925, 0.03, -0.955, -0.895, spf_-925.0_50_1.csv
Pass, SPF_mid_cap, 50.0, 2, 0.989, 1.0, 0.03, -0.97, 0.97, spf_1000_50_2.csv
Pass, SPF_mid_cap, 50.0, 2, -0.952, -0.925, 0.03, -0.955, -0.895, spf_-925.0_50_2.csv
Pass, SPF_mid_cap, 50.0, 3, 0.988, 1.0, 0.03, -0.97, 0.97, spf_1000_50_3.csv
Pass, SPF_mid_cap, 50.0, 3, -0.952, -0.925, 0.03, -0.955, -0.895, spf_-925.0_50_3.csv
Fail, SPF_mid_cap, 20.0, 1, 0.948, 1.0, 0.03, -0.97, 0.97, spf_1000_20_1.csv
Fail, SPF_mid_cap, 20.0, 1, -0.962, -0.925, 0.03, -0.955, -0.895, spf_-925.0_20_1.csv
Fail, SPF_mid_cap, 20.0, 2, 0.949, 1.0, 0.03, -0.97, 0.97, spf_1000_20_2.csv
Fail, SPF_mid_cap, 20.0, 2, -0.965, -0.925, 0.03, -0.955, -0.895, spf_-925.0_20_2.csv
Fail, SPF_mid_cap, 20.0, 3, 0.953, 1.0, 0.03, -0.97, 0.97, spf_1000_20_3.csv
Fail, SPF_mid_cap, 20.0, 3, -0.967, -0.925, 0.03, -0.955, -0.895, spf_-925.0_20_3.csv
