TIME, DC_V, DC_I, AC_VRMS_1, AC_IRMS_1, DC_P, AC_S_1, AC_P_1, AC_Q_1, AC_FREQ_1, AC_PF_1, TRIG, TRIG_GRID, PF_TARGET, PF_MAX, PF_MIN
3607112033.35, 443.202, 1.383, 239.749, 2.357, 582.841, 569.933, 546.358, 84.848, 60.05, -0.96, 0.0, 0.053, -0.925, -0.895, -0.955
3607112034.35, 442.056, 1.381, 239.752, 2.43, 582.039, 587.86, 566.245, 99.031, 60.051, -0.965, 0.0, 0.054, -0.925, -0.895, -0.955
3607112035.35, 440.477, 1.385, 239.924, 2.409, 581.35, 581.259, 559.69, 100.441, 60.051, -0.964, 0.0, 0.066, -0.925, -0.895, -0.955
3607112036.35, 440.482, 1.385, 239.798, 2.414, 582.379, 581.664, 560.7, 102.809, 60.05, -0.965, 0.0, 0.056, -0.925, -0.895, -0.955
3607112037.35, 440.57, 1.385, 239.747, 2.389, 582.105, 578.536, 558.798, 97.115, 60.051, -0.967, 0.0, 0.052, -0.925, -0.895, -0.955
