TIME, DC_V, DC_I, AC_VRMS_1, AC_VRMS_2, AC_VRMS_3, AC_IRMS_1, AC_IRMS_2, AC_IRMS_3, DC_P, AC_S_1, AC_S_2, AC_S_3, AC_P_1, AC_P_2, AC_P_3, AC_Q_1, AC_Q_2, AC_Q_3, AC_FREQ_1, AC_FREQ_2, AC_FREQ_3, AC_PF_1, AC_PF_2, AC_PF_3, TRIG, TRIG_GRID, PF_TARGET, PF_MAX, PF_MIN
1524254836.99, 769.762512207, 8.50024986267, 229.992355347, 229.991088867, 229.992050171, 42.2805366516, 42.4584999084, 42.0891113281, 6543.17368868, 9775.41276042, 9775.41276042, 9775.41276042, 2236.30875651, 2236.30875651, 2236.30875651, 9540.48242188, 9540.48242188, 9540.48242188, 50.0, 50.0, 50.0, 0.220334887505, 0.220334887505, 0.220334887505, 0.0, 0.0, 0.2, 0.22, 0.18
1524254838.0, 751.015441895, 8.6299571991, 230.043426514, 230.023986816, 230.016235352, 42.1737937927, 42.1879348755, 42.1588821411, 6481.23111941, 9743.46875, 9743.46875, 9743.46875, 2152.24560547, 2152.24560547, 2152.24560547, 9408.44205729, 9408.44205729, 9408.44205729, 50.0, 50.0, 50.0, 0.230293735862, 0.230293735862, 0.230293735862, 0.0, 0.0, 0.2, 0.22, 0.18
1524254838.98, 771.424194336, 8.43856334686, 230.018371582, 230.034393311, 230.036437988, 42.1420860291, 42.1015434265, 41.9628562927, 6509.71193121, 9693.82096354, 9693.82096354, 9693.82096354, 2108.04296875, 2108.04296875, 2108.04296875, 9453.56640625, 9453.56640625, 9453.56640625, 50.0, 50.0, 50.0, 0.224441736937, 0.224441736937, 0.224441736937, 0.0, 0.0, 0.2, 0.22, 0.18
1524254840.0, 759.260742188, 8.6213350296, 229.991333008, 230.005950928, 230.001464844, 41.1322174072, 41.4847717285, 40.7652359009, 6545.84123322, 9682.49934896, 9682.49934896, 9682.49934896, 2245.95117188, 2245.95117188, 2245.95117188, 9441.52539062, 9441.52539062, 9441.52539062, 50.0, 50.0, 50.0, 0.219921708107, 0.219921708107, 0.219921708107, 0.0, 0.0, 0.2, 0.22, 0.18
1524254840.98, 772.145324707, 8.38892650604, 230.010848999, 229.997360229, 229.994827271, 42.2647209167, 42.4711685181, 42.1539382935, 6477.47038095, 9585.26367188, 9585.26367188, 9585.26367188, 2153.09944661, 2153.09944661, 2153.09944661, 9428.07486979, 9428.07486979, 9428.07486979, 50.0, 50.0, 50.0, 0.226096153259, 0.226096153259, 0.226096153259, 0.0, 0.0, 0.2, 0.22, 0.18
