TIME, DC_V, DC_I, AC_VRMS_1, AC_VRMS_2, AC_VRMS_3, AC_IRMS_1, AC_IRMS_2, AC_IRMS_3, DC_P, AC_S_1, AC_S_2, AC_S_3, AC_P_1, AC_P_2, AC_P_3, AC_Q_1, AC_Q_2, AC_Q_3, AC_FREQ_1, AC_FREQ_2, AC_FREQ_3, AC_PF_1, AC_PF_2, AC_PF_3, TRIG, TRIG_GRID, PF_TARGET, PF_MAX, PF_MIN
1524254849.33, 764.706054688, 8.53672599792, 229.990112305, 229.995758057, 230.000564575, 42.1198005676, 42.1357917786, 42.2994117737, 6528.08605782, 9619.80208333, 9619.80208333, 9619.80208333, 2117.27376302, 2117.27376302, 2117.27376302, 9475.40299479, 9475.40299479, 9475.40299479, 50.0, 50.0, 50.0, 0.217398315668, 0.217398315668, 0.217398315668, 0.0, 0.0, 0.2, 0.22, 0.18
1524254850.33, 766.762023926, 8.48547935486, 229.997924805, 229.98890686, 229.992233276, 42.4347991943, 42.4563713074, 42.1767120361, 6506.34332411, 9743.61132812, 9743.61132812, 9743.61132812, 2136.90152995, 2136.90152995, 2136.90152995, 9321.65625, 9321.65625, 9321.65625, 50.0, 50.0, 50.0, 0.23342128098, 0.23342128098, 0.23342128098, 0.0, 0.0, 0.2, 0.22, 0.18
1524254851.33, 780.63861084, 8.38177204132, 230.047912598, 230.02822876, 230.016540527, 42.1170692444, 42.2272987366, 42.1648597717, 6543.13488271, 9748.67838542, 9748.67838542, 9748.67838542, 2145.30110677, 2145.30110677, 2145.30110677, 9607.89518229, 9607.89518229, 9607.89518229, 50.0, 50.0, 50.0, 0.214145511389, 0.214145511389, 0.214145511389, 0.0, 0.0, 0.2, 0.22, 0.18
1524254852.33, 766.456359863, 8.50099849701, 230.013397217, 230.034179688, 230.035491943, 42.2318611145, 42.2550010681, 42.0782470703, 6515.64436322, 9814.01627604, 9814.01627604, 9814.01627604, 2123.18505859, 2123.18505859, 2123.18505859, 9535.04492188, 9535.04492188, 9535.04492188, 50.0, 50.0, 50.0, 0.223630160093, 0.223630160093, 0.223630160093, 0.0, 0.0, 0.2, 0.22, 0.18
1524254853.31, 765.430541992, 8.51237010956, 229.993423462, 230.000473022, 230.005844116, 42.3647041321, 42.5241203308, 42.251121521, 6515.6280666, 9794.20898438, 9794.20898438, 9794.20898438, 2186.45784505, 2186.45784505, 2186.45784505, 9429.14908854, 9429.14908854, 9429.14908854, 50.0, 50.0, 50.0, 0.220656514168, 0.220656514168, 0.220656514168, 0.0, 0.0, 0.2, 0.22, 0.18
