TIME, DC_V, DC_I, AC_VRMS_1, AC_VRMS_2, AC_VRMS_3, AC_IRMS_1, AC_IRMS_2, AC_IRMS_3, DC_P, AC_S_1, AC_S_2, AC_S_3, AC_P_1, AC_P_2, AC_P_3, AC_Q_1, AC_Q_2, AC_Q_3, AC_FREQ_1, AC_FREQ_2, AC_FREQ_3, AC_PF_1, AC_PF_2, AC_PF_3, TRIG, TRIG_GRID, PF_TARGET, PF_MAX, PF_MIN
1524254861.58, 769.591186523, 8.46303367615, 230.017105103, 230.030426025, 230.038162231, 42.5593452454, 42.7054824829, 42.4771728516, 6513.07612841, 9866.04492188, 9866.04492188, 9866.04492188, 2255.87679036, 2255.87679036, 2255.87679036, 9631.59179688, 9631.59179688, 9631.59179688, 50.0, 50.0, 50.0, 0.22352437675, 0.22352437675, 0.22352437675, 0.0, 0.0, 0.2, 0.22, 0.18
1524254862.56, 762.369995117, 8.52094841003, 229.990646362, 229.993408203, 229.99508667, 42.98254776, 43.2573051453, 42.9582252502, 6496.11539775, 9802.6015625, 9802.6015625, 9802.6015625, 2197.1110026, 2197.1110026, 2197.1110026, 9613.80338542, 9613.80338542, 9613.80338542, 50.0, 50.0, 50.0, 0.218832537532, 0.218832537532, 0.218832537532, 0.0, 0.0, 0.2, 0.22, 0.18
1524254863.56, 764.186157227, 8.47545719147, 229.997512817, 229.99520874, 229.991638184, 42.5078086853, 42.7359390259, 42.3970527649, 6476.82706189, 9847.52994792, 9847.52994792, 9847.52994792, 2152.30712891, 2152.30712891, 2152.30712891, 9397.41210938, 9397.41210938, 9397.41210938, 50.0, 50.0, 50.0, 0.230621486902, 0.230621486902, 0.230621486902, 0.0, 0.0, 0.2, 0.22, 0.18
1524254864.56, 761.134765625, 8.57066059113, 230.049804688, 230.034545898, 230.024963379, 42.9193916321, 42.9097442627, 42.9222412109, 6523.42774028, 9870.12695312, 9870.12695312, 9870.12695312, 2053.81363932, 2053.81363932, 2053.81363932, 9607.94791667, 9607.94791667, 9607.94791667, 50.0, 50.0, 50.0, 0.224419772625, 0.224419772625, 0.224419772625, 0.0, 0.0, 0.2, 0.22, 0.18
1524254865.55, 767.923339844, 8.50446987152, 230.007293701, 230.02281189, 230.03163147, 42.5322303772, 42.587600708, 42.5448570251, 6530.78090734, 9848.39453125, 9848.39453125, 9848.39453125, 2189.21907552, 2189.21907552, 2189.21907552, 9559.64127604, 9559.64127604, 9559.64127604, 50.0, 50.0, 50.0, 0.217074602842, 0.217074602842, 0.217074602842, 0.0, 0.0, 0.2, 0.22, 0.18
