Result, Test Name, Power Level (%), Iteration, PF Actual 1, PF Actual 2, PF Actual 3,PF Target, PF MSA, PF Min Allowed, PF Max Allowed, Dataset File
Pass, SPF_min_ind, 100, 1, 0.99999833107, 0.99999833107, 0.99999833107, 1.0, 0.02, -0.98, 0.98, spf_1000_100_1.csv
Pass, SPF_min_ind, 100, 1, 0.207920968533, 0.207920968533, 0.207920968533, 0.2, 0.02, 0.18, 0.22, spf_200.0_100_1.csv
Pass, SPF_min_ind, 100, 2, 0.999999821186, 0.999999821186, 0.999999821186, 1.0, 0.02, -0.98, 0.98, spf_1000_100_2.csv
Pass, SPF_min_ind, 100, 2, 0.204383686185, 0.204383686185, 0.204383686185, 0.2, 0.02, 0.18, 0.22, spf_200.0_100_2.csv
Pass, SPF_min_ind, 100, 3, 0.999999046326, 0.999999046326, 0.999999046326, 1.0, 0.02, -0.98, 0.98, spf_1000_100_3.csv
Pass, SPF_min_ind, 100, 3, 0.209361702204, 0.209361702204, 0.209361702204, 0.2, 0.02, 0.18, 0.22, spf_200.0_100_3.csv
Pass, SPF_min_ind, 50.0, 1, 0.999984145164, 0.999984145164, 0.999984145164, 1.0, 0.02, -0.98, 0.98, spf_1000_50_1.csv
Pass, SPF_min_ind, 50.0, 1, 0.207587584853, 0.207587584853, 0.207587584853, 0.2, 0.02, 0.18, 0.22, spf_200.0_50_1.csv
Pass, SPF_min_ind, 50.0, 2, 0.999990463257, 0.999990463257, 0.999990463257, 1.0, 0.02, -0.98, 0.98, spf_1000_50_2.csv
Pass, SPF_min_ind, 50.0, 2, 0.214938133955, 0.214938133955, 0.214938133955, 0.2, 0.02, 0.18, 0.22, spf_200.0_50_2.csv
Pass, SPF_min_ind, 50.0, 3, 0.99999922514, 0.99999922514, 0.99999922514, 1.0, 0.02, -0.98, 0.98, spf_1000_50_3.csv
Pass, SPF_min_ind, 50.0, 3, 0.212183251977, 0.212183251977, 0.212183251977, 0.2, 0.02, 0.18, 0.22, spf_200.0_50_3.csv
Pass, SPF_min_ind, 20.0, 1, 0.999678373337, 0.999678373337, 0.999678373337, 1.0, 0.02, -0.98, 0.98, spf_1000_20_1.csv
Fail, SPF_min_ind, 20.0, 1, 0.226096153259, 0.226096153259, 0.226096153259, 0.2, 0.02, 0.18, 0.22, spf_200.0_20_1.csv
Pass, SPF_min_ind, 20.0, 2, 0.999854445457, 0.999854445457, 0.999854445457, 1.0, 0.02, -0.98, 0.98, spf_1000_20_2.csv
Fail, SPF_min_ind, 20.0, 2, 0.220656514168, 0.220656514168, 0.220656514168, 0.2, 0.02, 0.18, 0.22, spf_200.0_20_2.csv
Pass, SPF_min_ind, 20.0, 3, 0.999985396862, 0.999985396862, 0.999985396862, 1.0, 0.02, -0.98, 0.98, spf_1000_20_3.csv
Pass, SPF_min_ind, 20.0, 3, 0.217074602842, 0.217074602842, 0.217074602842, 0.2, 0.02, 0.18, 0.22, spf_200.0_20_3.csv
