TIME, DC_V, DC_I, AC_VRMS_1, AC_VRMS_2, AC_VRMS_3, AC_IRMS_1, AC_IRMS_2, AC_IRMS_3, DC_P, AC_S_1, AC_S_2, AC_S_3, AC_P_1, AC_P_2, AC_P_3, AC_Q_1, AC_Q_2, AC_Q_3, AC_FREQ_1, AC_FREQ_2, AC_FREQ_3, AC_PF_1, AC_PF_2, AC_PF_3, TRIG, TRIG_GRID, PF_TARGET, PF_MAX, PF_MIN
1524254773.17, 994.319396973, 6.61756753922, 229.99937439, 230.001968384, 230.002563477, 49.1758918762, 49.2569580078, 49.0572052002, 6579.97576502, 11257.3307292, 11257.3307292, 11257.3307292, 2313.67952474, 2313.67952474, 2313.67952474, 11065.46875, 11065.46875, 11065.46875, 50.0, 50.0, 50.0, 0.208174839616, 0.208174839616, 0.208174839616, 0.0, 0.0, 0.2, 0.22, 0.18
1524254774.17, 995.965759277, 6.6493973732, 230.016418457, 230.013031006, 230.007247925, 48.9784545898, 49.1564750671, 49.0547981262, 6622.57210354, 11340.0117188, 11340.0117188, 11340.0117188, 2269.75113932, 2269.75113932, 2269.75113932, 11162.2552083, 11162.2552083, 11162.2552083, 50.0, 50.0, 50.0, 0.213275387883, 0.213275387883, 0.213275387883, 0.0, 0.0, 0.2, 0.22, 0.18
1524254775.16, 996.14263916, 6.50384616852, 230.0287323, 230.027420044, 230.027374268, 49.1051864624, 49.2456665039, 49.0669326782, 6478.758487, 11267.3580729, 11267.3580729, 11267.3580729, 2274.60188802, 2274.60188802, 2274.60188802, 11035.046875, 11035.046875, 11035.046875, 50.0, 50.0, 50.0, 0.209200382233, 0.209200382233, 0.209200382233, 0.0, 0.0, 0.2, 0.22, 0.18
1524254776.18, 994.503845215, 6.92123126984, 230.007568359, 230.01864624, 230.023803711, 49.1058158875, 49.0684394836, 48.9091644287, 6883.19111147, 11324.4713542, 11324.4713542, 11324.4713542, 2301.32698568, 2301.32698568, 2301.32698568, 10983.7799479, 10983.7799479, 10983.7799479, 50.0, 50.0, 50.0, 0.202936530113, 0.202936530113, 0.202936530113, 0.0, 0.0, 0.2, 0.22, 0.18
1524254777.19, 995.371276855, 6.26875782013, 229.998596191, 229.997131348, 229.996536255, 49.1653022766, 49.1597518921, 48.9362869263, 6239.74147572, 11350.4296875, 11350.4296875, 11350.4296875, 2287.47900391, 2287.47900391, 2287.47900391, 10888.515625, 10888.515625, 10888.515625, 50.0, 50.0, 50.0, 0.204383686185, 0.204383686185, 0.204383686185, 0.0, 0.0, 0.2, 0.22, 0.18
