TIME, DC_V, DC_I, AC_VRMS_1, AC_VRMS_2, AC_VRMS_3, AC_IRMS_1, AC_IRMS_2, AC_IRMS_3, DC_P, AC_S_1, AC_S_2, AC_S_3, AC_P_1, AC_P_2, AC_P_3, AC_Q_1, AC_Q_2, AC_Q_3, AC_FREQ_1, AC_FREQ_2, AC_FREQ_3, AC_PF_1, AC_PF_2, AC_PF_3, TRIG, TRIG_GRID, PF_TARGET, PF_MAX, PF_MIN
1524255110.54, 994.694213867, 7.16432476044, 229.985244751, 229.984649658, 229.983276367, 42.5224685669, 42.6906509399, 42.5644569397, 7126.31238547, 9813.84179688, 9813.84179688, 9813.84179688, 2353.15364583, 2353.15364583, 2353.15364583, -9483.78255208, -9483.78255208, -9483.78255208, 50.0, 50.0, 50.0, 0.23814535141, 0.23814535141, 0.23814535141, 0.0, 0.0, -0.2, -0.18, -0.22
1524255111.52, 994.463500977, 6.71519899368, 229.98651123, 229.985046387, 229.988418579, 42.2951622009, 42.541015625, 42.4679527283, 6678.02030101, 9779.62890625, 9779.62890625, 9779.62890625, 2322.76969401, 2322.76969401, 2322.76969401, -9481.26171875, -9481.26171875, -9481.26171875, 50.0, 50.0, 50.0, 0.240881726146, 0.240881726146, 0.240881726146, 0.0, 0.0, -0.2, -0.18, -0.22
1524255112.55, 994.973693848, 6.56742238998, 229.986801147, 229.988891602, 229.989425659, 42.3704795837, 42.7233695984, 42.5349121094, 6534.41251442, 9746.37760417, 9746.37760417, 9746.37760417, 2364.16552734, 2364.16552734, 2364.16552734, -9511.48567708, -9511.48567708, -9511.48567708, 50.0, 50.0, 50.0, 0.242553085089, 0.242553085089, 0.242553085089, 0.0, 0.0, -0.2, -0.18, -0.22
1524255113.52, 994.186401367, 7.2758307457, 229.986968994, 229.9871521, 229.987106323, 42.404800415, 42.7055053711, 42.4689483643, 7233.53198602, 9798.85091146, 9798.85091146, 9798.85091146, 2326.00927734, 2326.00927734, 2326.00927734, -9511.68424479, -9511.68424479, -9511.68424479, 50.0, 50.0, 50.0, 0.238333269954, 0.238333269954, 0.238333269954, 0.0, 0.0, -0.2, -0.18, -0.22
1524255114.52, 994.394836426, 7.24735736847, 229.984893799, 229.98286438, 229.981933594, 42.4198951721, 42.6835403442, 42.4949569702, 7206.73474494, 9792.58007812, 9792.58007812, 9792.58007812, 2318.61669922, 2318.61669922, 2318.61669922, -9592.24934896, -9592.24934896, -9592.24934896, 50.0, 50.0, 50.0, 0.241206675768, 0.241206675768, 0.241206675768, 0.0, 0.0, -0.2, -0.18, -0.22
