TIME, DC_V, DC_I, AC_VRMS_1, AC_VRMS_2, AC_VRMS_3, AC_IRMS_1, AC_IRMS_2, AC_IRMS_3, DC_P, AC_S_1, AC_S_2, AC_S_3, AC_P_1, AC_P_2, AC_P_3, AC_Q_1, AC_Q_2, AC_Q_3, AC_FREQ_1, AC_FREQ_2, AC_FREQ_3, AC_PF_1, AC_PF_2, AC_PF_3, TRIG, TRIG_GRID, PF_TARGET, PF_MAX, PF_MIN
1524255130.09, 938.052062988, 26.6002750397, 230.006668091, 230.011993408, 230.011306763, 34.8813934326, 35.0509223938, 35.0453071594, 24952.442877, 8333.2890625, 8333.2890625, 8333.2890625, 8222.94986979, 8222.94986979, 8222.94986979, 32.3184585571, 32.3184585571, 32.3184585571, 50.0, 50.0, 50.0, 0.999996304512, 0.999996304512, 0.999996304512, 0.0, 0.0, 1.0, 0.98, -0.98
1524255131.09, 921.390625, 30.4583015442, 229.963623047, 229.980117798, 229.986236572, 41.4866027832, 41.6380081177, 41.695022583, 28063.9934962, 9434.47395833, 9434.47395833, 9434.47395833, 9477.51106771, 9477.51106771, 9477.51106771, 43.595316569, 43.595316569, 43.595316569, 50.0, 50.0, 50.0, 0.999970138073, 0.999970138073, 0.999970138073, 0.0, 0.0, 1.0, 0.98, -0.98
1524255132.09, 897.836669922, 34.6155738831, 230.002716064, 229.991226196, 229.984558105, 43.5612335205, 43.6357269287, 43.774646759, 31079.1315826, 10102.5533854, 10102.5533854, 10102.5533854, 10008.9309896, 10008.9309896, 10008.9309896, -46.0557912191, -46.0557912191, -46.0557912191, 50.0, 50.0, 50.0, 0.999974489212, 0.999974489212, 0.999974489212, 0.0, 0.0, 1.0, 0.98, -0.98
1524255133.09, 878.136291504, 37.3741912842, 230.022644043, 230.024551392, 230.021224976, 46.818271637, 46.9396858215, 46.9536323547, 32819.6337322, 10838.0364583, 10838.0364583, 10838.0364583, 10768.406901, 10768.406901, 10768.406901, 36.0288950602, 36.0288950602, 36.0288950602, 50.0, 50.0, 50.0, 0.999992728233, 0.999992728233, 0.999992728233, 0.0, 0.0, 1.0, 0.98, -0.98
1524255134.09, 873.697387695, 37.6210098267, 230.000015259, 230.008392334, 230.014556885, 47.439617157, 47.5306892395, 47.6366958618, 32869.378008, 10985.8229167, 10985.8229167, 10985.8229167, 10902.9388021, 10902.9388021, 10902.9388021, -6.40344047546, -6.40344047546, -6.40344047546, 50.0, 50.0, 50.0, 0.999999880791, 0.999999880791, 0.999999880791, 0.0, 0.0, 1.0, 0.98, -0.98
