TIME, DC_V, DC_I, AC_VRMS_1, AC_VRMS_2, AC_VRMS_3, AC_IRMS_1, AC_IRMS_2, AC_IRMS_3, DC_P, AC_S_1, AC_S_2, AC_S_3, AC_P_1, AC_P_2, AC_P_3, AC_Q_1, AC_Q_2, AC_Q_3, AC_FREQ_1, AC_FREQ_2, AC_FREQ_3, AC_PF_1, AC_PF_2, AC_PF_3, TRIG, TRIG_GRID, PF_TARGET, PF_MAX, PF_MIN
1524255142.66, 892.795288086, 17.0639457703, 230.0181427, 230.019393921, 230.022705078, 22.3588924408, 21.9598045349, 22.0226097107, 15234.6103798, 5059.95084635, 5059.95084635, 5059.95084635, 5002.19335938, 5002.19335938, 5002.19335938, -12.4506861369, -12.4506861369, -12.4506861369, 50.0, 50.0, 50.0, 0.999999940395, 0.999999940395, 0.999999940395, 0.0, 0.0, 1.0, 0.98, -0.98
1524255143.64, 857.173400879, 19.2908649445, 229.991653442, 230.00730896, 230.014556885, 23.6659832001, 23.5812358856, 24.1287765503, 16535.6163103, 5481.45442708, 5481.45442708, 5481.45442708, 5533.3984375, 5533.3984375, 5533.3984375, 36.455116272, 36.455116272, 36.455116272, 50.0, 50.0, 50.0, 0.999972820282, 0.999972820282, 0.999972820282, 0.0, 0.0, 1.0, 0.98, -0.98
1524255144.64, 825.940612793, 20.627412796, 229.961730957, 229.960906982, 229.965499878, 24.4132442474, 24.4331169128, 24.6321220398, 17037.0179651, 5701.93294271, 5701.93294271, 5701.93294271, 5727.05273438, 5727.05273438, 5727.05273438, -38.2810516357, -38.2810516357, -38.2810516357, 50.0, 50.0, 50.0, 0.999991118908, 0.999991118908, 0.999991118908, 0.0, 0.0, 1.0, 0.98, -0.98
1524255145.62, 803.715026855, 21.2373771667, 230.017547607, 229.999923706, 229.992355347, 24.679605484, 24.6624221802, 24.7582912445, 17068.7991599, 5679.89648438, 5679.89648438, 5679.89648438, 5595.62760417, 5595.62760417, 5595.62760417, -41.8560816447, -41.8560816447, -41.8560816447, 50.0, 50.0, 50.0, 0.999874055386, 0.999874055386, 0.999874055386, 0.0, 0.0, 1.0, 0.98, -0.98
1524255146.64, 809.413635254, 21.0765190125, 230.029510498, 230.037490845, 230.035293579, 24.9195213318, 24.8854942322, 24.9278087616, 17059.6218724, 5629.52473958, 5629.52473958, 5629.52473958, 5667.73307292, 5667.73307292, 5667.73307292, 27.6749674479, 27.6749674479, 27.6749674479, 50.0, 50.0, 50.0, 0.999969959259, 0.999969959259, 0.999969959259, 0.0, 0.0, 1.0, 0.98, -0.98
