TIME, DC_V, DC_I, AC_VRMS_1, AC_IRMS_1, DC_P, AC_S_1, AC_P_1, AC_Q_1, AC_FREQ_1, AC_PF_1, TRIG, TRIG_GRID, PF_TARGET, PF_MAX, PF_MIN
3607111580.68, 459.884, 3.319, 239.739, 7.403, 1494.775, 1779.444, 1384.347, -1104.979, 60.05, 0.778, 0.0, 0.051, 0.85, 0.88, 0.82
3607111581.68, 459.843, 3.319, 239.682, 7.436, 1494.68, 1787.91, 1390.724, -1109.841, 60.051, 0.778, 0.0, 0.053, 0.85, 0.88, 0.82
3607111582.68, 460.807, 3.313, 239.735, 7.426, 1494.999, 1784.506, 1388.273, -1108.643, 60.051, 0.778, 0.0, 0.057, 0.85, 0.88, 0.82
3607111583.68, 460.933, 3.311, 239.727, 7.424, 1494.052, 1783.884, 1388.135, -1106.465, 60.051, 0.778, 0.0, 0.057, 0.85, 0.88, 0.82
3607111584.68, 460.853, 3.313, 239.737, 7.431, 1494.46, 1785.795, 1389.004, -1108.759, 60.051, 0.778, 0.0, 0.058, 0.85, 0.88, 0.82
3607111585.68, 460.847, 3.311, 239.789, 7.421, 1494.6, 1782.681, 1389.072, -1102.633, 60.051, 0.779, 0.0, 0.057, 0.85, 0.88, 0.82
