TIME, DC_V, DC_I, AC_VRMS_1, AC_IRMS_1, DC_P, AC_S_1, AC_P_1, AC_Q_1, AC_FREQ_1, AC_PF_1, TRIG, TRIG_GRID, PF_TARGET, PF_MAX, PF_MIN
3607111634.01, 462.722, 1.337, 239.699, 3.272, 588.294, 791.128, 549.545, -546.795, 60.051, 0.695, 0.0, 0.058, 0.85, 0.88, 0.82
3607111635.01, 462.801, 1.335, 239.621, 3.249, 588.196, 780.668, 537.909, -541.711, 60.051, 0.69, 0.0, 0.05, 0.85, 0.88, 0.82
3607111636.01, 462.811, 1.338, 239.689, 3.295, 588.371, 790.94, 549.797, -545.525, 60.05, 0.696, 0.0, 0.052, 0.85, 0.88, 0.82
3607111637.01, 462.088, 1.337, 239.67, 3.24, 587.503, 780.503, 545.852, -533.903, 60.051, 0.7, 0.0, 0.054, 0.85, 0.88, 0.82
3607111638.01, 461.53, 1.339, 239.657, 3.253, 588.167, 782.827, 543.167, -540.613, 60.051, 0.694, 0.0, 0.054, 0.85, 0.88, 0.82
