TIME, DC_V, DC_I, AC_VRMS_1, AC_IRMS_1, DC_P, AC_S_1, AC_P_1, AC_Q_1, AC_FREQ_1, AC_PF_1, TRIG, TRIG_GRID, PF_TARGET, PF_MAX, PF_MIN
3607111547.35, 461.591, 6.585, 240.215, 11.973, 3002.269, 2877.829, 2865.348, -206.218, 60.05, 0.996, 0.0, 0.058, 1.0, 0.97, -0.97
3607111548.35, 460.896, 6.591, 240.203, 11.848, 3000.522, 2849.175, 2836.911, -196.614, 60.051, 0.996, 0.0, 0.055, 1.0, 0.97, -0.97
3607111549.35, 461.84, 6.577, 240.14, 11.879, 3000.38, 2855.021, 2842.735, -204.893, 60.051, 0.996, 0.0, 0.056, 1.0, 0.97, -0.97
3607111550.35, 461.846, 6.58, 240.142, 11.831, 3001.486, 2844.029, 2831.816, -203.208, 60.051, 0.996, 0.0, 0.057, 1.0, 0.97, -0.97
3607111551.35, 461.902, 6.577, 240.126, 11.829, 3000.861, 2843.233, 2830.988, -198.997, 60.051, 0.996, 0.0, 0.058, 1.0, 0.97, -0.97
