TIME, DC_V, DC_I, AC_VRMS_1, AC_IRMS_1, DC_P, AC_S_1, AC_P_1, AC_Q_1, AC_FREQ_1, AC_PF_1, TRIG, TRIG_GRID, PF_TARGET, PF_MAX, PF_MIN
3607111594.01, 459.958, 3.319, 239.783, 7.392, 1494.371, 1777.883, 1377.256, -1110.89, 60.051, 0.775, 0.0, 0.055, 0.85, 0.88, 0.82
3607111595.01, 459.838, 3.319, 239.749, 7.411, 1493.936, 1783.437, 1382.246, -1114.134, 60.051, 0.775, 0.0, 0.055, 0.85, 0.88, 0.82
3607111596.01, 459.79, 3.319, 239.735, 7.441, 1493.93, 1787.024, 1390.199, -1110.183, 60.05, 0.778, 0.0, 0.055, 0.85, 0.88, 0.82
3607111597.01, 458.951, 3.326, 239.745, 7.424, 1494.885, 1784.833, 1386.747, -1109.417, 60.051, 0.777, 0.0, 0.055, 0.85, 0.88, 0.82
3607111598.01, 458.718, 3.327, 239.741, 7.43, 1493.878, 1785.622, 1387.315, -1110.598, 60.051, 0.777, 0.0, 0.054, 0.85, 0.88, 0.82
