TIME, DC_V, DC_I, AC_VRMS_1, AC_IRMS_1, DC_P, AC_S_1, AC_P_1, AC_Q_1, AC_FREQ_1, AC_PF_1, TRIG, TRIG_GRID, PF_TARGET, PF_MAX, PF_MIN
3607111647.35, 464.776, 1.332, 239.677, 3.214, 588.509, 774.712, 535.559, -535.12, 60.051, 0.692, 0.0, 0.052, 0.85, 0.88, 0.82
3607111648.35, 464.838, 1.33, 239.748, 3.199, 588.244, 771.592, 534.843, -532.828, 60.051, 0.694, 0.0, 0.06, 0.85, 0.88, 0.82
3607111649.35, 464.911, 1.33, 239.687, 3.202, 587.995, 771.587, 533.382, -533.495, 60.051, 0.692, 0.0, 0.054, 0.85, 0.88, 0.82
3607111650.35, 464.14, 1.335, 239.689, 3.229, 588.775, 777.748, 539.481, -537.532, 60.05, 0.694, 0.0, 0.052, 0.85, 0.88, 0.82
3607111651.35, 463.58, 1.335, 239.692, 3.248, 589.381, 782.913, 543.955, -539.55, 60.051, 0.695, 0.0, 0.054, 0.85, 0.88, 0.82
