TIME, DC_V, DC_I, AC_VRMS_1, AC_IRMS_1, DC_P, AC_S_1, AC_P_1, AC_Q_1, AC_FREQ_1, AC_PF_1, TRIG, TRIG_GRID, PF_TARGET, PF_MAX, PF_MIN
3607111898.68, 455.629, 1.355, 239.694, 2.407, 587.938, 582.4, 553.791, -121.785, 60.05, 0.952, 0.0, 0.053, 1.0, 0.97, -0.97
3607111899.68, 456.494, 1.353, 239.781, 2.389, 588.252, 577.778, 548.719, -125.749, 60.051, 0.951, 0.0, 0.053, 1.0, 0.97, -0.97
3607111900.68, 456.594, 1.352, 239.749, 2.412, 588.042, 581.075, 553.453, -122.911, 60.05, 0.954, 0.0, 0.058, 1.0, 0.97, -0.97
3607111901.68, 456.892, 1.35, 239.766, 2.412, 587.458, 583.145, 554.51, -124.419, 60.051, 0.952, 0.0, 0.057, 1.0, 0.97, -0.97
3607111902.68, 456.608, 1.353, 239.732, 2.418, 588.446, 584.949, 557.257, -122.3, 60.051, 0.954, 0.0, 0.054, 1.0, 0.97, -0.97
