TIME, DC_V, DC_I, AC_VRMS_1, AC_IRMS_1, DC_P, AC_S_1, AC_P_1, AC_Q_1, AC_FREQ_1, AC_PF_1, TRIG, TRIG_GRID, PF_TARGET, PF_MAX, PF_MIN
3607111826.35, 519.049, 5.357, 240.108, 11.804, 2654.362, 2840.135, 2475.971, 1377.869, 60.051, -0.872, 0.0, 0.062, -0.85, -0.82, -0.88
3607111827.35, 513.838, 5.335, 240.188, 12.199, 2691.011, 2932.864, 2552.8, 1435.284, 60.051, -0.87, 0.0, 0.057, -0.85, -0.82, -0.88
3607111828.35, 513.652, 5.357, 240.232, 12.167, 2696.296, 2927.299, 2551.276, 1426.554, 60.051, -0.872, 0.0, 0.057, -0.85, -0.82, -0.88
3607111829.35, 513.431, 5.387, 240.198, 12.187, 2703.251, 2933.161, 2558.358, 1427.938, 60.051, -0.872, 0.0, 0.057, -0.85, -0.82, -0.88
3607111830.35, 511.872, 5.389, 240.316, 12.299, 2714.204, 2959.07, 2576.106, 1447.894, 60.05, -0.871, 0.0, 0.057, -0.85, -0.82, -0.88
