TIME, DC_V, DC_I, AC_VRMS_1, AC_IRMS_1, DC_P, AC_S_1, AC_P_1, AC_Q_1, AC_FREQ_1, AC_PF_1, TRIG, TRIG_GRID, PF_TARGET, PF_MAX, PF_MIN
3607111859.68, 462.627, 3.303, 239.818, 5.971, 1495.847, 1435.151, 1418.388, -163.852, 60.05, 0.989, 0.0, 0.055, 1.0, 0.97, -0.97
3607111860.68, 462.734, 3.3, 239.877, 5.983, 1495.19, 1434.881, 1418.323, -162.868, 60.051, 0.989, 0.0, 0.055, 1.0, 0.97, -0.97
3607111861.68, 462.671, 3.3, 239.878, 5.968, 1495.033, 1436.366, 1418.507, -170.559, 60.051, 0.988, 0.0, 0.057, 1.0, 0.97, -0.97
3607111862.68, 462.762, 3.3, 239.903, 5.938, 1495.475, 1432.755, 1415.23, -171.447, 60.051, 0.988, 0.0, 0.055, 1.0, 0.97, -0.97
3607111863.68, 461.639, 3.308, 239.886, 5.971, 1495.622, 1436.531, 1418.232, -168.509, 60.05, 0.988, 0.0, 0.052, 1.0, 0.97, -0.97
