TIME, DC_V, DC_I, AC_VRMS_1, AC_IRMS_1, DC_P, AC_S_1, AC_P_1, AC_Q_1, AC_FREQ_1, AC_PF_1, TRIG, TRIG_GRID, PF_TARGET, PF_MAX, PF_MIN
3607111800.35, 520.595, 6.023, 240.343, 12.385, 2754.241, 2982.573, 2591.025, 1455.697, 60.05, -0.869, 0.0, 0.057, -0.85, -0.82, -0.88
3607111801.68, 513.118, 5.339, 240.277, 12.183, 2695.141, 2930.213, 2552.372, 1430.715, 60.05, -0.871, 0.0, 0.054, -0.85, -0.82, -0.88
3607111802.35, 512.221, 5.377, 240.339, 12.27, 2709.875, 2951.551, 2570.536, 1442.244, 60.051, -0.871, 0.0, 0.057, -0.85, -0.82, -0.88
3607111803.35, 513.247, 5.331, 240.283, 12.177, 2693.177, 2929.338, 2550.18, 1432.557, 60.051, -0.871, 0.0, 0.054, -0.85, -0.82, -0.88
3607111804.35, 512.284, 5.373, 240.315, 12.254, 2709.214, 2947.95, 2569.385, 1439.497, 60.051, -0.872, 0.0, 0.055, -0.85, -0.82, -0.88
