TIME, DC_V, DC_I, AC_VRMS_1, AC_IRMS_1, DC_P, AC_S_1, AC_P_1, AC_Q_1, AC_FREQ_1, AC_PF_1, TRIG, TRIG_GRID, PF_TARGET, PF_MAX, PF_MIN
3607111853.35, 462.729, 3.3, 239.962, 6.71, 1495.379, 1614.932, 1428.963, 741.626, 60.05, -0.885, 0.0, 0.056, -0.85, -0.82, -0.88
3607111854.35, 462.643, 3.299, 239.969, 6.721, 1494.619, 1619.934, 1432.682, 746.544, 60.05, -0.885, 0.0, 0.054, -0.85, -0.82, -0.88
3607111855.35, 462.736, 3.3, 239.92, 6.731, 1495.204, 1618.227, 1431.164, 745.454, 60.051, -0.885, 0.0, 0.056, -0.85, -0.82, -0.88
3607111856.35, 462.071, 3.307, 239.958, 6.729, 1495.581, 1617.68, 1431.088, 744.051, 60.05, -0.885, 0.0, 0.054, -0.85, -0.82, -0.88
3607111857.35, 461.687, 3.308, 239.928, 6.737, 1495.508, 1617.365, 1431.05, 743.925, 60.051, -0.885, 0.0, 0.054, -0.85, -0.82, -0.88
