TIME, DC_V, DC_I, AC_VRMS_1, AC_IRMS_1, DC_P, AC_S_1, AC_P_1, AC_Q_1, AC_FREQ_1, AC_PF_1, TRIG, TRIG_GRID, PF_TARGET, PF_MAX, PF_MIN
3607111840.35, 462.585, 3.3, 239.975, 6.706, 1494.77, 1613.86, 1427.723, 742.288, 60.05, -0.885, 0.0, 0.057, -0.85, -0.82, -0.88
3607111841.35, 462.69, 3.302, 239.942, 6.711, 1495.541, 1614.16, 1427.937, 741.573, 60.051, -0.885, 0.0, 0.053, -0.85, -0.82, -0.88
3607111842.35, 462.823, 3.299, 239.922, 6.708, 1495.42, 1612.32, 1426.544, 741.265, 60.051, -0.885, 0.0, 0.054, -0.85, -0.82, -0.88
3607111843.35, 463.749, 3.293, 239.936, 6.701, 1495.714, 1611.947, 1426.358, 740.363, 60.051, -0.885, 0.0, 0.053, -0.85, -0.82, -0.88
3607111844.35, 463.608, 3.292, 239.923, 6.691, 1494.613, 1611.577, 1427.0, 739.972, 60.051, -0.886, 0.0, 0.055, -0.85, -0.82, -0.88
