TIME, DC_V, DC_I, AC_VRMS_1, AC_VRMS_2, AC_VRMS_3, AC_IRMS_1, AC_IRMS_2, AC_IRMS_3, DC_P, AC_S_1, AC_S_2, AC_S_3, AC_P_1, AC_P_2, AC_P_3, AC_Q_1, AC_Q_2, AC_Q_3, AC_FREQ_1, AC_FREQ_2, AC_FREQ_3, AC_PF_1, AC_PF_2, AC_PF_3, TRIG, TRIG_GRID, PF_TARGET, PF_MAX, PF_MIN
1524255378.25, 750.72668457, 8.6849565506, 230.006668091, 230.021728516, 230.022537231, 15.4817399979, 15.5045824051, 15.5992450714, 6520.02863687, 3567.78059896, 3567.78059896, 3567.78059896, 2228.31510417, 2228.31510417, 2228.31510417, -2845.05761719, -2845.05761719, -2845.05761719, 50.0, 50.0, 50.0, 0.611960053444, 0.611960053444, 0.611960053444, 0.0, 0.0, -0.6, -0.58, -0.62
1524255379.27, 765.413696289, 8.50950908661, 229.961639404, 229.962646484, 229.96975708, 15.2668504715, 15.4414834976, 15.6294088364, 6513.29480359, 3594.47688802, 3594.47688802, 3594.47688802, 2317.89420573, 2317.89420573, 2317.89420573, -2770.93391927, -2770.93391927, -2770.93391927, 50.0, 50.0, 50.0, 0.619775891304, 0.619775891304, 0.619775891304, 0.0, 0.0, -0.6, -0.58, -0.62
1524255380.25, 775.452026367, 8.46779537201, 229.986038208, 229.974624634, 229.966949463, 15.30219841, 15.3163738251, 15.5293083191, 6566.36908009, 3510.66829427, 3510.66829427, 3510.66829427, 2125.75472005, 2125.75472005, 2125.75472005, -2830.44238281, -2830.44238281, -2830.44238281, 50.0, 50.0, 50.0, 0.615853190422, 0.615853190422, 0.615853190422, 0.0, 0.0, -0.6, -0.58, -0.62
1524255381.26, 761.108886719, 8.68843650818, 230.036468506, 230.025619507, 230.01701355, 15.2794399261, 15.3250741959, 15.44835186, 6612.84623807, 3588.86946615, 3588.86946615, 3588.86946615, 2098.25488281, 2098.25488281, 2098.25488281, -2798.74641927, -2798.74641927, -2798.74641927, 50.0, 50.0, 50.0, 0.602632522583, 0.602632522583, 0.602632522583, 0.0, 0.0, -0.6, -0.58, -0.62
1524255382.26, 780.241210938, 8.37422943115, 230.005081177, 230.018325806, 230.024307251, 15.3935260773, 15.4379405975, 15.5035295486, 6533.91891203, 3588.7249349, 3588.7249349, 3588.7249349, 2150.07470703, 2150.07470703, 2150.07470703, -2788.10839844, -2788.10839844, -2788.10839844, 50.0, 50.0, 50.0, 0.611909806728, 0.611909806728, 0.611909806728, 0.0, 0.0, -0.6, -0.58, -0.62
1524255383.27, 757.695373535, 8.63421726227, 229.963043213, 229.975814819, 229.979766846, 15.661696434, 15.7998962402, 15.8934326172, 6542.10647372, 3586.83496094, 3586.83496094, 3586.83496094, 2273.17838542, 2273.17838542, 2273.17838542, -2784.40755208, -2784.40755208, -2784.40755208, 50.0, 50.0, 50.0, 0.613515079021, 0.613515079021, 0.613515079021, 0.0, 0.0, -0.6, -0.58, -0.62
