TIME, DC_V, DC_I, AC_VRMS_1, AC_VRMS_2, AC_VRMS_3, AC_IRMS_1, AC_IRMS_2, AC_IRMS_3, DC_P, AC_S_1, AC_S_2, AC_S_3, AC_P_1, AC_P_2, AC_P_3, AC_Q_1, AC_Q_2, AC_Q_3, AC_FREQ_1, AC_FREQ_2, AC_FREQ_3, AC_PF_1, AC_PF_2, AC_PF_3, TRIG, TRIG_GRID, PF_TARGET, PF_MAX, PF_MIN
1524255346.81, 805.535461426, 21.2375831604, 230.02281189, 230.011413574, 229.994033813, 24.6554088593, 24.5797481537, 24.7744941711, 17107.6263507, 5602.33007812, 5602.33007812, 5602.33007812, 5587.88020833, 5587.88020833, 5587.88020833, -29.4149627686, -29.4149627686, -29.4149627686, 50.0, 50.0, 50.0, 0.99993878603, 0.99993878603, 0.99993878603, 0.0, 0.0, 1.0, 0.98, -0.98
1524255347.83, 806.234130859, 21.0851783752, 230.027389526, 230.029891968, 230.032684326, 24.832195282, 24.7718524933, 24.8545417786, 16999.5904614, 5627.53645833, 5627.53645833, 5627.53645833, 5690.34244792, 5690.34244792, 5690.34244792, -41.8729680379, -41.8729680379, -41.8729680379, 50.0, 50.0, 50.0, 0.999989330769, 0.999989330769, 0.999989330769, 0.0, 0.0, 1.0, 0.98, -0.98
1524255348.83, 801.658203125, 21.2918071747, 229.977844238, 230.00302124, 230.009490967, 25.006734848, 25.0218925476, 25.0842895508, 17068.7518809, 5651.45377604, 5651.45377604, 5651.45377604, 5688.66015625, 5688.66015625, 5688.66015625, -21.9745941162, -21.9745941162, -21.9745941162, 50.0, 50.0, 50.0, 0.999938130379, 0.999938130379, 0.999938130379, 0.0, 0.0, 1.0, 0.98, -0.98
1524255349.84, 793.49609375, 21.5307731628, 229.968353271, 229.956192017, 229.958755493, 24.6330051422, 24.7243804932, 24.9366207123, 17084.5844001, 5697.01302083, 5697.01302083, 5697.01302083, 5779.88151042, 5779.88151042, 5779.88151042, -105.999389648, -105.999389648, -105.999389648, 50.0, 50.0, 50.0, 0.999981105328, 0.999981105328, 0.999981105328, 0.0, 0.0, 1.0, 0.98, -0.98
1524255350.84, 805.149475098, 21.177904129, 230.020828247, 230.012161255, 230.006362915, 24.6182155609, 24.5746746063, 24.6815681458, 17051.3783932, 5674.61263021, 5674.61263021, 5674.61263021, 5653.00846354, 5653.00846354, 5653.00846354, 3.79287020365, 3.79287020365, 3.79287020365, 50.0, 50.0, 50.0, 0.999880075455, 0.999880075455, 0.999880075455, 0.0, 0.0, 1.0, 0.98, -0.98
1524255351.83, 801.460510254, 21.281627655, 230.02835083, 230.03666687, 230.033996582, 24.9734382629, 25.0634059906, 24.9020175934, 17056.3841594, 5638.484375, 5638.484375, 5638.484375, 5688.96809896, 5688.96809896, 5688.96809896, 3.75273323059, 3.75273323059, 3.75273323059, 50.0, 50.0, 50.0, 0.999981939793, 0.999981939793, 0.999981939793, 0.0, 0.0, 1.0, 0.98, -0.98
